model,participant,analysis_scope,generated_views,changed_fraction,mean_kendall,mean_changed_position_fraction,mean_absolute_index_shift,latest_token_moved_fraction,graph_valid_fraction,graph_valid_regression_rate,target_appended_graph_valid_fraction,target_graph_valid_regression_rate,target_immediate_predecessor_ok_fraction,target_immediate_predecessor_regression_rate,immediate_constraint_violation_increase_rate,novel_transition_fraction,real_prefix_fraction,mean_actual_transition_log_probability,mean_augmented_transition_log_probability,stage_backward_increase_rate,samples,mean_unique_ratio,mean_duplicate_ratio,all_views_identical_fraction,all_unchanged_fraction
A1-Legacy-Once,A,all_generated_views,1869,0.5291599785981809,0.11351634014165692,0.29971001420870236,0.9110252218173013,0.17710005350454788,1.0,0.0,0.9983948635634029,0.0,0.9887640449438202,0.0,0.0,0.11225619531188331,0.4911717495987159,-1.0028710936776688,-1.298964706764586,0.0,623,0.6762974852862493,0.3237025147137507,0.4510433386837881,0.44141252006420545
A1-Legacy-Every10-Replace,A,all_generated_views,9345,0.533119315141787,0.11308427349386309,0.2995940871443052,0.9136957986055834,0.17934724451578385,1.0,0.0,0.9983948635634029,0.0,0.9887640449438202,0.0,0.0,0.1115873396264896,0.48764044943820223,-1.0028710936776688,-1.2962787166609555,0.0,623,0.49930444087747455,0.5006955591225254,0.43659711075441415,0.4333868378812199
A3-DualPos-Once,A,all_generated_views,1869,0.29052969502407705,0.047614754144168936,0.15532759853794595,0.5416045134917286,0.0,0.9887640449438202,0.0,0.9871589085072231,0.0,0.9871589085072231,0.0,0.0,0.06521907386091,0.709470304975923,-1.0028710936776688,-1.180696429702593,0.0,623,0.527019796682718,0.472980203317282,0.7062600321027287,0.7062600321027287
A3-DualPos-Every10,A,all_generated_views,9345,0.29095773140716963,0.04797857622175882,0.155146625280481,0.5421723032443546,0.0,0.9887640449438202,0.0,0.9871589085072231,0.0,0.9871589085072231,0.0,0.0,0.06427533446434852,0.7092562867843767,-1.0028710936776688,-1.1785234965597955,0.0,623,0.3336543606206528,0.6663456393793472,0.7062600321027287,0.7062600321027287
A1-Legacy-Once,D,all_generated_views,2607,0.4978902953586498,0.10170088585701535,0.27256509590342565,0.8180119929848236,0.1683927886459532,1.0,0.0,0.998849252013809,0.0,0.9850402761795167,0.0,0.0,0.11473977367269501,0.5216724204065977,-0.7994445667275071,-1.1402699260993443,0.0,869,0.652090525508247,0.347909474491753,0.49252013808975836,0.4810126582278481
A1-Legacy-Every10-Replace,D,all_generated_views,13035,0.49758342922899884,0.10165951095974188,0.2720626607393784,0.8199660226499724,0.17245876486382816,1.0,0.0,0.998849252013809,0.0,0.9850402761795167,0.0,0.0,0.11526098197779217,0.5185270425776755,-0.7994445667275071,-1.1405708121667069,0.0,869,0.4722669735327963,0.5277330264672037,0.475258918296893,0.47295742232451093
A3-DualPos-Once,D,all_generated_views,2607,0.2642884541618719,0.0429320351125794,0.13942578554839877,0.48357307422883095,0.0,0.9919447640966629,0.0,0.9907940161104718,0.0,0.9838895281933256,0.0,0.0,0.06725926831954147,0.7360951285001918,-0.7994445667275071,-0.9972444601088266,0.0,869,0.5086306098964327,0.4913693901035674,0.7353279631760644,0.7341772151898734
A3-DualPos-Every10,D,all_generated_views,13035,0.26367472190257,0.04216998523325422,0.13817761497627443,0.47632555484391453,0.0,0.9919447640966629,0.0,0.9907940161104718,0.0,0.9838895281933256,0.0,0.0,0.06665669814676112,0.7366321442270809,-0.7994445667275071,-0.9959618535939166,0.0,869,0.3084004602991945,0.6915995397008056,0.7341772151898734,0.7341772151898734
A1-Legacy-Once,J,all_generated_views,2094,0.5730659025787965,0.13259003446265688,0.3434290932287728,1.034369529616015,0.18147086914995225,1.0,0.0,1.0,0.0,0.9828080229226361,0.0,0.0,0.11884309030989583,0.4393505253104107,-1.0117988202170998,-1.3421535418331876,0.0,698,0.7072588347659982,0.2927411652340019,0.40257879656160456,0.3982808022922636
A1-Legacy-Every10-Replace,J,all_generated_views,10470,0.5723018147086915,0.1326681001437705,0.3422249798345178,1.038817794856557,0.1775549188156638,1.0,0.0,1.0,0.0,0.9828080229226361,0.0,0.0,0.11731643286745291,0.44040114613180514,-1.0117988202170998,-1.3374627748283587,0.0,698,0.5435530085959885,0.4564469914040115,0.39255014326647564,0.39255014326647564
A3-DualPos-Once,J,all_generated_views,2094,0.32951289398280803,0.055881071568577086,0.18129124327151902,0.6189345913773793,0.0,1.0,0.0,1.0,0.0,0.9828080229226361,0.0,0.0,0.06915314909041867,0.670487106017192,-1.0117988202170998,-1.2117723020519233,0.0,698,0.5515759312320917,0.4484240687679084,0.669054441260745,0.667621776504298
A3-DualPos-Every10,J,all_generated_views,10470,0.32855778414517667,0.05573659222728675,0.1806148868170664,0.6190840979501975,0.0,1.0,0.0,1.0,0.0,0.9828080229226361,0.0,0.0,0.06762813888271708,0.6714422158548233,-1.0117988202170998,-1.2085370489613012,0.0,698,0.3679083094555874,0.6320916905444126,0.667621776504298,0.667621776504298
