comparison_model,participant,seed,condition,grouping,group,tier3_accuracy_delta_vs_m2,tier3_macro_f1_delta_vs_m2,node_accuracy_delta_vs_m2
A1-Legacy-Once,A,1,all,active_tail,False,0.04285714285714293,0.051168260921008124,0.04285714285714293
A1-Legacy-Once,A,1,all,active_tail,True,0.07560137457044669,0.043007746767940835,0.07903780068728516
A1-Legacy-Once,A,1,all,exact_full_prefix,False,0.05732484076433131,0.05732165673832357,0.05732484076433131
A1-Legacy-Once,A,1,all,exact_full_prefix,True,0.06934306569343063,0.06706190813419044,0.07299270072992692
A1-Legacy-Once,A,1,all,history_length,0,0.0,0.0,0.0
A1-Legacy-Once,A,1,all,history_length,1-2,-0.22916666666666663,-0.1550738916256158,-0.22916666666666663
A1-Legacy-Once,A,1,all,history_length,11-20,0.09655172413793112,0.11817867716574604,0.096551724137931
A1-Legacy-Once,A,1,all,history_length,21+,0.0,-0.04848484848484835,0.0
A1-Legacy-Once,A,1,all,history_length,3-5,0.26388888888888895,0.1014298832480649,0.26388888888888895
A1-Legacy-Once,A,1,all,history_length,6-10,0.05714285714285716,0.04914335994493291,0.06666666666666665
A1-Legacy-Once,A,1,all,local_prefix_3,insufficient,-0.1527777777777778,-0.14478893960038497,-0.1527777777777778
A1-Legacy-Once,A,1,all,local_prefix_3,seen,0.1174698795180723,0.08193835454283838,0.12048192771084343
A1-Legacy-Once,A,1,all,local_prefix_3,unseen,0.0,0.04031746031746031,0.0
A1-Legacy-Once,A,1,all,local_suffix_1,insufficient,0.0,0.0,0.0
A1-Legacy-Once,A,1,all,local_suffix_1,seen,0.06879606879606881,0.05501479363022144,0.07125307125307123
A1-Legacy-Once,A,1,all,local_suffix_2,insufficient,-0.0625,-0.029501440808431756,-0.0625
A1-Legacy-Once,A,1,all,local_suffix_2,seen,0.08333333333333326,0.059770764043582614,0.08602150537634401
A1-Legacy-Once,A,1,all,local_suffix_2,unseen,0.0,0.0,0.0
A1-Legacy-Once,A,1,all,stage,1,0.0,0.0038567493112948714,0.0
A1-Legacy-Once,A,1,all,stage,2,0.07467532467532467,0.05550745943740887,0.07792207792207795
A1-Legacy-Once,A,1,all,stage,3,0.08771929824561409,0.050555555555555465,0.08771929824561409
A1-Legacy-Once,A,1,all,tail_reason,active_incomplete_atomic_prefix,0.07560137457044669,0.043007746767940835,0.07903780068728516
A1-Legacy-Once,A,1,all,tail_reason,atomic_sequence_complete,0.0,0.0,0.0
A1-Legacy-Once,A,1,all,tail_reason,empty_history,0.0,0.0,0.0
A1-Legacy-Once,A,1,all,tail_reason,latest_node_not_atomic,0.06944444444444442,0.07467205996617776,0.06944444444444442
A1-Legacy-Once,A,1,all,tail_reason,observed_atomic_nodes_not_prefix,0.0,0.0,0.0
A1-Legacy-Once,A,1,all,tail_reason,repeated_node_fallback,0.11111111111111116,0.08333333333333326,0.11111111111111116
A1-Legacy-Once,A,1,fault,active_tail,False,0.052631578947368474,0.07564102564102582,0.052631578947368474
A1-Legacy-Once,A,1,fault,active_tail,True,0.09999999999999998,0.11679709700347596,0.11249999999999993
A1-Legacy-Once,A,1,fault,exact_full_prefix,False,0.05999999999999994,0.07621326042378684,0.05999999999999994
A1-Legacy-Once,A,1,fault,exact_full_prefix,True,0.09195402298850575,0.10590193794448799,0.10344827586206895
A1-Legacy-Once,A,1,fault,history_length,0,0.0,0.0,0.0
A1-Legacy-Once,A,1,fault,history_length,1-2,-0.2777777777777778,-0.13888888888888895,-0.2777777777777778
A1-Legacy-Once,A,1,fault,history_length,11-20,0.09090909090909094,0.09368871868871875,0.09090909090909094
A1-Legacy-Once,A,1,fault,history_length,21+,0.0,0.0,0.0
A1-Legacy-Once,A,1,fault,history_length,3-5,0.37037037037037035,0.2842261904761906,0.37037037037037035
A1-Legacy-Once,A,1,fault,history_length,6-10,0.06666666666666665,0.0377777777777778,0.10000000000000009
A1-Legacy-Once,A,1,fault,local_prefix_3,insufficient,-0.18518518518518523,-0.09941520467836273,-0.18518518518518523
A1-Legacy-Once,A,1,fault,local_prefix_3,seen,0.1717171717171717,0.1709678727070033,0.18181818181818188
A1-Legacy-Once,A,1,fault,local_prefix_3,unseen,-0.09090909090909094,-0.09999999999999987,-0.09090909090909094
A1-Legacy-Once,A,1,fault,local_suffix_1,insufficient,0.0,0.0,0.0
A1-Legacy-Once,A,1,fault,local_suffix_1,seen,0.0859375,0.09989109427088994,0.09375
A1-Legacy-Once,A,1,fault,local_suffix_2,insufficient,-0.05555555555555558,-0.0491228070175439,-0.05555555555555558
A1-Legacy-Once,A,1,fault,local_suffix_2,seen,0.10619469026548678,0.10507789312137161,0.11504424778761058
A1-Legacy-Once,A,1,fault,local_suffix_2,unseen,0.0,0.0,0.0
A1-Legacy-Once,A,1,fault,stage,1,0.045454545454545525,0.06060606060606055,0.045454545454545525
A1-Legacy-Once,A,1,fault,stage,2,0.08163265306122447,0.10535481348945586,0.09183673469387754
A1-Legacy-Once,A,1,fault,stage,3,0.11764705882352933,0.06666666666666665,0.11764705882352933
A1-Legacy-Once,A,1,fault,tail_reason,active_incomplete_atomic_prefix,0.09999999999999998,0.11679709700347596,0.11249999999999993
A1-Legacy-Once,A,1,fault,tail_reason,atomic_sequence_complete,0.0,0.0,0.0
A1-Legacy-Once,A,1,fault,tail_reason,empty_history,0.0,0.0,0.0
A1-Legacy-Once,A,1,fault,tail_reason,latest_node_not_atomic,0.08695652173913038,0.0888888888888888,0.08695652173913038
A1-Legacy-Once,A,1,fault,tail_reason,observed_atomic_nodes_not_prefix,0.0,0.0,0.0
