comparison_model,condition,grouping,group,contributing_jobs,tier3_accuracy_delta_mean,tier3_accuracy_delta_sd,tier3_macro_f1_delta_mean,node_accuracy_delta_mean
A1-Legacy-Once,all,active_tail,False,12,0.004306988737041671,0.02781677043290751,0.00027641492608755186,0.0037993601019722656
A1-Legacy-Once,all,active_tail,True,12,0.020980597083117152,0.05026933667298394,0.0032926291772673775,0.02315222747639702
A1-Legacy-Once,all,exact_full_prefix,False,12,0.0018591390500345233,0.03801590125663851,1.7445583093791035e-05,0.0027508382088749415
A1-Legacy-Once,all,exact_full_prefix,True,12,0.023634344410559487,0.040647844851191106,0.013604393297856426,0.02512895685407703
A1-Legacy-Once,all,history_length,0,12,0.02999999999999998,0.06878821252088312,0.02313839556317224,0.02999999999999998
A1-Legacy-Once,all,history_length,1-2,12,0.012083333333333316,0.08858561743399215,-0.007237192606235944,0.012083333333333316
A1-Legacy-Once,all,history_length,11-20,12,-0.008757510692826589,0.05270840347342351,-0.009581942074988201,-0.005420984511472844
A1-Legacy-Once,all,history_length,21+,12,0.011258317140670085,0.04554444156908507,0.023261935685623153,0.003371707126400484
A1-Legacy-Once,all,history_length,3-5,12,0.04356481481481481,0.09441516430652869,0.013255698747551689,0.04240740740740742
A1-Legacy-Once,all,history_length,6-10,12,0.02922619047619048,0.06481982107571556,0.02151076012747131,0.03349206349206349
A1-Legacy-Once,all,local_prefix_3,insufficient,12,0.018055555555555537,0.06554720885059298,0.0017094120680449427,0.018055555555555537
A1-Legacy-Once,all,local_prefix_3,seen,12,0.0181744206201765,0.05272276559499218,-0.002515469045484442,0.02007160210630199
A1-Legacy-Once,all,local_prefix_3,unseen,12,-0.015374069721895792,0.05271077496483764,-0.00471560846560846,-0.015374069721895792
A1-Legacy-Once,all,local_suffix_1,insufficient,12,0.02999999999999998,0.06878821252088312,0.02313839556317224,0.02999999999999998
A1-Legacy-Once,all,local_suffix_1,seen,12,0.014967584107756468,0.04122227635638714,0.004601380077756095,0.016426447054033594
A1-Legacy-Once,all,local_suffix_2,insufficient,12,0.02888888888888887,0.05444547515000456,0.004032706501255534,0.02888888888888887
A1-Legacy-Once,all,local_suffix_2,seen,12,0.014770251712188348,0.044893936736980174,-0.002785016441398854,0.016409009896255045
A1-Legacy-Once,all,local_suffix_2,unseen,12,0.0029461279461279466,0.060007553820684824,0.03767467100800433,0.0029461279461279466
A1-Legacy-Once,all,stage,1,12,0.0005050505050504991,0.022559836245539342,0.004362892999256666,0.0005050505050504991
A1-Legacy-Once,all,stage,2,12,0.021534000128617226,0.04764137340660131,0.015275690202572809,0.023446287341958815
A1-Legacy-Once,all,stage,3,12,0.002950083542188814,0.053417336788163294,0.0015277097630038243,0.002950083542188814
A1-Legacy-Once,all,tail_reason,active_incomplete_atomic_prefix,12,0.020980597083117152,0.05026933667298394,0.0032926291772673775,0.02315222747639702
A1-Legacy-Once,all,tail_reason,atomic_sequence_complete,12,-0.021525117071094068,0.04170333030620398,-0.025571584500155925,-0.021525117071094068
A1-Legacy-Once,all,tail_reason,empty_history,12,0.02999999999999998,0.06878821252088312,0.02313839556317224,0.02999999999999998
A1-Legacy-Once,all,tail_reason,latest_node_not_atomic,12,0.005687810437504261,0.03355169092121631,0.0035386321497432593,0.005687810437504261
A1-Legacy-Once,all,tail_reason,observed_atomic_nodes_not_prefix,12,-0.010416666666666666,0.036084391824351615,-0.0032051282051282124,-0.010416666666666666
A1-Legacy-Once,all,tail_reason,repeated_node_fallback,12,-0.0009645061728395058,0.08246636995456882,-0.012625811688311691,0.0
A1-Legacy-Once,fault,active_tail,False,12,-0.0005951265163069522,0.03788191138340551,-0.0036589488942429804,-0.0031804103507919825
A1-Legacy-Once,fault,active_tail,True,12,0.030255027517996386,0.0656609984003744,0.02279211103211225,0.03567065284341552
A1-Legacy-Once,fault,exact_full_prefix,False,12,-0.013506069094304388,0.05875878162993983,-0.026653521153005216,-0.010966386554621834
A1-Legacy-Once,fault,exact_full_prefix,True,12,0.03501516633545632,0.05097867411031442,0.024892929973077432,0.03597302074158659
A1-Legacy-Once,fault,history_length,0,12,0.061111111111111116,0.1268189762997613,-0.00046296296296296363,0.061111111111111116
A1-Legacy-Once,fault,history_length,1-2,12,0.03333333333333333,0.14022588799255173,0.01673534798534798,0.03333333333333333
A1-Legacy-Once,fault,history_length,11-20,12,-0.0032799256937187846,0.08901289407317212,-0.024263109613504825,0.007452397538604438
A1-Legacy-Once,fault,history_length,21+,12,-0.02390572390572392,0.1084216909497098,0.0017195767195767226,-0.040572390572390586
A1-Legacy-Once,fault,history_length,3-5,12,0.04984567901234566,0.14400229819816504,0.028634444259444253,0.046759259259259243
A1-Legacy-Once,fault,history_length,6-10,12,0.010740740740740736,0.0396033457001705,0.014716510341510345,0.0162962962962963
A1-Legacy-Once,fault,local_prefix_3,insufficient,12,0.04259259259259259,0.1056160851909109,0.011504120879120866,0.04259259259259259
A1-Legacy-Once,fault,local_prefix_3,seen,12,0.02140811096034977,0.07636209754997808,0.01226047125980024,0.023961631237750636
A1-Legacy-Once,fault,local_prefix_3,unseen,12,-0.0937950937950938,0.11064717247379144,-0.10673280423280422,-0.0937950937950938
A1-Legacy-Once,fault,local_suffix_1,insufficient,12,0.061111111111111116,0.1268189762997613,-0.00046296296296296363,0.061111111111111116
A1-Legacy-Once,fault,local_suffix_1,seen,12,0.014338547782741184,0.0517654470686558,0.0047553920565069725,0.016156127347911414
A1-Legacy-Once,fault,local_suffix_2,insufficient,12,0.0574074074074074,0.0860445599242345,0.01540432946682944,0.0574074074074074
A1-Legacy-Once,fault,local_suffix_2,seen,12,0.015162215004620136,0.05415605626999958,0.0031007228771430437,0.017264839720591924
A1-Legacy-Once,fault,local_suffix_2,unseen,12,-0.06944444444444446,0.13216024351645986,-0.10555555555555556,-0.06944444444444446
A1-Legacy-Once,fault,stage,1,12,-0.0075757575757575595,0.05066549354751934,-0.01010101010101011,-0.0075757575757575595
A1-Legacy-Once,fault,stage,2,12,0.026203751156377752,0.05573676233654985,0.03281135945027821,0.02864328884436264
A1-Legacy-Once,fault,stage,3,12,-0.02248774509803923,0.10257884013111297,-0.030177469135802475,-0.02248774509803923
A1-Legacy-Once,fault,tail_reason,active_incomplete_atomic_prefix,12,0.030255027517996386,0.0656609984003744,0.02279211103211225,0.03567065284341552
A1-Legacy-Once,fault,tail_reason,atomic_sequence_complete,12,-0.0798611111111111,0.13111113786166478,-0.060185185185185175,-0.0798611111111111
A1-Legacy-Once,fault,tail_reason,empty_history,12,0.061111111111111116,0.1268189762997613,-0.00046296296296296363,0.061111111111111116
A1-Legacy-Once,fault,tail_reason,latest_node_not_atomic,12,-0.00027677133655396036,0.05314250739589205,-0.0009971509971509844,-0.00027677133655396036
A1-Legacy-Once,fault,tail_reason,observed_atomic_nodes_not_prefix,12,-0.010416666666666666,0.036084391824351615,-0.0032051282051282124,-0.010416666666666666
A1-Legacy-Once,fault,tail_reason,repeated_node_fallback,12,0.003086419753086415,0.08275456831325773,-0.007348033910533912,0.0
A1-Legacy-Once,normal,active_tail,False,12,0.00636711601758715,0.02548249710286903,0.010638554328847269,0.00636711601758715
A1-Legacy-Once,normal,active_tail,True,12,0.016905666728022295,0.0504734573310077,0.0013707828102240138,0.018515303921770504
