model,condition,grouping,group,contributing_jobs,total_samples,mean_n_per_job,tier3_accuracy_mean,tier3_accuracy_sd,tier3_macro_f1_mean,tier3_macro_f1_sd,node_accuracy_mean,node_accuracy_sd
M2-Direct-RealOrder,normal,exact_full_prefix,False,12,1455,121.25,0.8275789454165007,0.050922037331327864,0.7969074297907902,0.07692219618069783,0.8261973664691323,0.049363598401050486
M2-Direct-RealOrder,normal,exact_full_prefix,True,12,2868,239.0,0.8621979699668643,0.07077986583561906,0.8525535262659685,0.04596832725909726,0.8608538839453589,0.07245646127862503
M2-Direct-RealOrder,normal,local_suffix_1,insufficient,12,228,19.0,0.8402255639097743,0.14679461759894422,0.7708184893063925,0.23911900711017056,0.8402255639097743,0.14679461759894422
M2-Direct-RealOrder,normal,local_suffix_1,seen,12,4095,341.25,0.8525292179877711,0.06962583410916182,0.828913189296744,0.05653828300521322,0.8512021469399076,0.07010967679673523
M2-Direct-RealOrder,normal,local_suffix_2,insufficient,12,456,38.0,0.8630952380952381,0.0653918481175834,0.838535130152121,0.10917183014054492,0.8630952380952381,0.0653918481175834
M2-Direct-RealOrder,normal,local_suffix_2,seen,12,3720,310.0,0.8551598000396861,0.069363877652954,0.8280227749166055,0.06276804523548334,0.8536790425493131,0.07026968599278834
M2-Direct-RealOrder,normal,local_suffix_2,unseen,12,147,12.25,0.7416666666666667,0.08708716945782015,0.7439544252044251,0.0898089091240604,0.7416666666666667,0.08708716945782015
M2-Direct-RealOrder,normal,local_prefix_3,insufficient,12,684,57.0,0.8852548036758563,0.05479330735468307,0.8640174853120889,0.08772928617191228,0.8852548036758563,0.05479330735468307
M2-Direct-RealOrder,normal,local_prefix_3,seen,12,3327,277.25,0.8513631790227031,0.07348058706895398,0.812090731562603,0.06966846419036689,0.8496849585944827,0.07445392128728183
M2-Direct-RealOrder,normal,local_prefix_3,unseen,12,312,26.0,0.7954571531602412,0.09692342973102598,0.7904879815173933,0.11069175214661035,0.7954571531602412,0.09692342973102598
M2-Direct-RealOrder,normal,history_length,0,12,228,19.0,0.8402255639097743,0.14679461759894422,0.7708184893063925,0.23911900711017056,0.8402255639097743,0.14679461759894422
M2-Direct-RealOrder,normal,history_length,1-2,12,456,38.0,0.9077694235588973,0.0825139117317903,0.9411350362183079,0.09962427617319665,0.9077694235588973,0.0825139117317903
M2-Direct-RealOrder,normal,history_length,11-20,12,1440,120.0,0.8663181089412199,0.03817604876463377,0.8585560227864754,0.0390889015603124,0.8656567332798443,0.03720591988933978
M2-Direct-RealOrder,normal,history_length,21+,12,375,31.25,0.8426416623997269,0.0800546302765039,0.8187018999518999,0.07079509180117854,0.8403268475849122,0.07809725079870951
