model,participant,seed,samples,prediction_match_fraction,mismatches
M2-Direct-RealOrder,A,1,431,1.0,0
A1-Legacy-Once,A,1,431,1.0,0
A3-DualPos-Once,A,1,431,1.0,0
M2-Direct-RealOrder,A,2,431,1.0,0
A1-Legacy-Once,A,2,431,1.0,0
A3-DualPos-Once,A,2,431,1.0,0
M2-Direct-RealOrder,A,42,431,1.0,0
A1-Legacy-Once,A,42,431,1.0,0
A3-DualPos-Once,A,42,431,1.0,0
M2-Direct-RealOrder,D,1,462,1.0,0
A1-Legacy-Once,D,1,462,1.0,0
A3-DualPos-Once,D,1,462,1.0,0
M2-Direct-RealOrder,D,2,462,1.0,0
A1-Legacy-Once,D,2,462,1.0,0
A3-DualPos-Once,D,2,462,1.0,0
M2-Direct-RealOrder,D,42,462,1.0,0
A1-Legacy-Once,D,42,462,1.0,0
A3-DualPos-Once,D,42,462,1.0,0
M2-Direct-RealOrder,J,1,555,1.0,0
A1-Legacy-Once,J,1,555,1.0,0
A3-DualPos-Once,J,1,555,1.0,0
M2-Direct-RealOrder,J,2,555,1.0,0
A1-Legacy-Once,J,2,555,1.0,0
A3-DualPos-Once,J,2,555,1.0,0
M2-Direct-RealOrder,J,42,555,1.0,0
A1-Legacy-Once,J,42,555,1.0,0
A3-DualPos-Once,J,42,555,1.0,0
M2-Direct-RealOrder,M,1,447,1.0,0
A1-Legacy-Once,M,1,447,1.0,0
A3-DualPos-Once,M,1,447,1.0,0
M2-Direct-RealOrder,M,2,447,1.0,0
A1-Legacy-Once,M,2,447,1.0,0
A3-DualPos-Once,M,2,447,1.0,0
M2-Direct-RealOrder,M,42,447,1.0,0
A1-Legacy-Once,M,42,447,1.0,0
A3-DualPos-Once,M,42,447,1.0,0
