model,variant,analysis_scope,samples,node_top1_change_rate,tier3_top1_change_rate,mean_js,median_js,mean_total_variation,mean_abs_true_probability_change,tier3_accuracy,history_attention_mass,tier3_accuracy_delta_vs_actual
M2-Direct-RealOrder,graph_valid_truepos_control,eligible_history_len_ge_2,5067,0.0,0.0,1.4000361006824714e-10,0.0,1.8900839198019513e-09,1.1936454338815328e-09,0.8452733372804421,0.8872771430396695,0.0
M2-Direct-RealOrder,graph_valid_native,eligible_history_len_ge_2,5067,0.008288928359976317,0.007104795737122558,0.0028242701965791295,0.0,0.009570401699150112,0.0070264146226833015,0.8456680481547266,0.8867876773782094,0.000394710874284554
M2-Direct-RealOrder,random_presented,eligible_history_len_ge_2,5067,0.24432603118215906,0.14624037892243932,0.14156088078728124,0.006138504948467,0.25809543319484873,0.2169598442156983,0.7428458654035919,0.8821944280891275,-0.1024274718768502
M2-Direct-RealOrder,reverse_presented,eligible_history_len_ge_2,5067,0.2905072034734557,0.15393724097098876,0.167313852907866,0.0144817028194665,0.29916620254200343,0.2546388295564812,0.7292283402407737,0.8811603767033839,-0.11604499703966842
M2-Direct-RealOrder,no_history,eligible_history_len_ge_2,5067,0.325044404973357,0.16577856719952636,0.17759373579341706,0.0260907895863056,0.3245013446110438,0.27943913958361133,0.7150187487665285,0.0,-0.13025458851391358
A1-Legacy-Once,graph_valid_truepos_control,eligible_history_len_ge_2,5067,0.0,0.0,2.5992578303318334e-10,0.0,2.1723653663140454e-09,1.7428580770545377e-09,0.8577067298204065,0.9170861766492212,0.0
A1-Legacy-Once,graph_valid_native,eligible_history_len_ge_2,5067,0.008288928359976317,0.008486283797118611,0.002333253893636207,0.0,0.008724051397501681,0.005896612453289376,0.8588908624432603,0.9171643952940352,0.001184132622853773
A1-Legacy-Once,random_presented,eligible_history_len_ge_2,5067,0.26248273139925005,0.17090980856522597,0.15014199999012834,0.0060151712968945,0.27105250872697023,0.23457169637372993,0.7282415630550622,0.9139108202126643,-0.12946516676534436
A1-Legacy-Once,reverse_presented,eligible_history_len_ge_2,5067,0.33688573120189463,0.20643378725083877,0.19445126763629825,0.0214901063591241,0.33986482995244943,0.2945745567729985,0.6964673376751529,0.9100607651235649,-0.16123939214525362
A1-Legacy-Once,no_history,eligible_history_len_ge_2,5067,0.33313597789619104,0.18511940003947108,0.18395021317629034,0.0422224700450897,0.3388870206595164,0.29442468466683114,0.707913953029406,0.0,-0.14979277679100056
A3-DualPos-Once,graph_valid_truepos_control,eligible_history_len_ge_2,5067,0.0,0.0,5.2721800730346945e-11,0.0,6.497411340302117e-10,4.806490132990634e-10,0.8326425893033353,0.860990736372541,0.0
A3-DualPos-Once,graph_valid_native,eligible_history_len_ge_2,5067,0.00039471087428458656,0.00019735543714229328,1.364697425675173e-05,0.0,0.00030240785263577576,0.00022049390837798646,0.8324452338661931,0.8607805830994277,-0.000197355437142277
A3-DualPos-Once,random_presented,eligible_history_len_ge_2,5067,0.2545885139135583,0.15808170515097691,0.1433060527775716,0.008668964728713,0.2650515469809696,0.21286287946404395,0.7286362739293467,0.8601178941534707,-0.10400631537398863
A3-DualPos-Once,reverse_presented,eligible_history_len_ge_2,5067,0.32267613972764947,0.17110716400236828,0.1885424925920063,0.0282106362283229,0.33635256901657323,0.2696007207955517,0.7199526346950859,0.8580324231154918,-0.11268995460824949
A3-DualPos-Once,no_history,eligible_history_len_ge_2,5067,0.31715018748766527,0.16321294651667653,0.17896122844729706,0.0313260741531848,0.32785599886290484,0.26288150444416997,0.7164002368265245,0.0,-0.1162423524768108
M2-Direct-RealOrder,graph_valid_truepos_control,graph_permutation_changed_only,1858,0.0,0.0,3.818074769729861e-10,0.0,5.154496890008874e-09,3.2552214281365596e-09,0.8240043057050592,0.8415252676051195,0.0
M2-Direct-RealOrder,graph_valid_native,graph_permutation_changed_only,1858,0.022604951560818085,0.0193756727664155,0.007702140519949649,5.650279717883677e-06,0.026099690747897534,0.01916191759587529,0.8250807319698601,0.8401904331020955,0.0010764262648008671
A1-Legacy-Once,graph_valid_truepos_control,graph_permutation_changed_only,1858,0.0,0.0,7.088503458714424e-10,0.0,5.924313945701436e-09,4.7529934749382894e-09,0.826157158234661,0.8576452628467773,0.0
A1-Legacy-Once,graph_valid_native,graph_permutation_changed_only,1858,0.022604951560818085,0.023143164693218515,0.006363077222311443,3.732038749149069e-06,0.023791586884360075,0.016080804790536744,0.8293864370290636,0.8578585749421874,0.0032292787944026013
A3-DualPos-Once,graph_valid_truepos_control,graph_permutation_changed_only,1008,0.0,0.0,2.650211947427262e-10,0.0,3.2661094505268676e-09,2.4161195936372564e-09,0.8134920634920635,0.8759421446020641,0.0
A3-DualPos-Once,graph_valid_native,graph_permutation_changed_only,1008,0.001984126984126984,0.000992063492063492,6.86004152370645e-05,1.4524031933735304e-13,0.001520139473517337,0.0011083756287214854,0.8125,0.8748857491309681,-0.0009920634920634885
