split,participant,seed,samples,node_accuracy,node_macro_f1,node_balanced_accuracy,tier3_accuracy,tier3_macro_f1,tier3_balanced_accuracy
all,A,1,431,0.91647332,0.90056431,0.90580232,0.91647332,0.89020921,0.89753923
all,A,2,431,0.88631090,0.86621748,0.87421769,0.88631090,0.85738321,0.86943164
all,A,42,431,0.88399072,0.87000517,0.87476190,0.88631090,0.86258952,0.86929083
all,D,1,462,0.91558442,0.88168612,0.88747619,0.91558442,0.87217554,0.87627716
all,D,2,462,0.89610390,0.88400876,0.88923810,0.89826840,0.88901147,0.89365701
all,D,42,462,0.84415584,0.82807434,0.84504762,0.84632035,0.82907725,0.84767665
all,J,1,555,0.95315315,0.92606624,0.92529954,0.95495495,0.91834747,0.91722164
all,J,2,555,0.94774775,0.90188761,0.90934716,0.94774775,0.89053699,0.89869060
all,J,42,555,0.93333333,0.92190219,0.91480799,0.93333333,0.92307991,0.91266042
all,M,1,447,0.90604027,0.84980902,0.85192103,0.90604027,0.83076902,0.83281407
all,M,2,447,0.90380313,0.85704053,0.86016563,0.90380313,0.84317438,0.84700273
all,M,42,447,0.88143177,0.84993137,0.85600858,0.88143177,0.84120638,0.84863680
normal,A,1,294,0.93197279,0.91348049,0.91476190,0.93197279,0.90420312,0.90698925
normal,A,2,294,0.92176871,0.88966937,0.89333333,0.92176871,0.87926164,0.88494624
normal,A,42,294,0.91496599,0.89265702,0.89476190,0.91496599,0.88425193,0.88763441
normal,D,1,400,0.91750000,0.88773160,0.89414966,0.91750000,0.87943858,0.88433180
normal,D,2,400,0.89250000,0.88674556,0.88925170,0.89500000,0.89311518,0.89416283
normal,D,42,400,0.83750000,0.83111924,0.84625850,0.84000000,0.83561498,0.85176651
normal,J,1,387,0.96640827,0.94808281,0.95034014,0.96640827,0.94175450,0.94393241
normal,J,2,387,0.95865633,0.91491575,0.92448980,0.95865633,0.90393713,0.91474654
normal,J,42,387,0.94315245,0.94306780,0.94285714,0.94315245,0.94794789,0.94546851
normal,M,1,360,0.90000000,0.81783954,0.82481203,0.90000000,0.79474316,0.80220713
normal,M,2,360,0.90000000,0.83725854,0.84165414,0.90000000,0.82010091,0.82546689
normal,M,42,360,0.86666667,0.82023801,0.82789474,0.86666667,0.80825848,0.81757216
fault,A,1,137,0.88321168,0.86716902,0.89047619,0.88321168,0.85482058,0.88225806
fault,A,2,137,0.81021898,0.80252055,0.83809524,0.81021898,0.80030770,0.84318996
fault,A,42,137,0.81751825,0.79001906,0.81904762,0.82481752,0.78143134,0.81594982
fault,D,1,62,0.90322581,0.82857143,0.84444444,0.90322581,0.80512821,0.82051282
fault,D,2,62,0.91935484,0.88968254,0.90000000,0.91935484,0.89065934,0.90384615
fault,D,42,62,0.88709677,0.79968254,0.83333333,0.88709677,0.77559620,0.81410256
fault,J,1,168,0.92261905,0.86614110,0.87441077,0.92857143,0.85306808,0.86226054
fault,J,2,168,0.92261905,0.85486633,0.87441077,0.92261905,0.83928790,0.86053640
fault,J,42,168,0.91071429,0.85662738,0.85656566,0.91071429,0.84727344,0.84367816
fault,M,1,87,0.93103448,0.94433312,0.94705882,0.93103448,0.93691087,0.94000000
fault,M,2,87,0.91954023,0.90718954,0.92352941,0.91954023,0.90412698,0.92166667
fault,M,42,87,0.94252874,0.95347594,0.95882353,0.94252874,0.95664077,0.96166667
