split,participant,samples,node_accuracy,node_macro_f1,node_balanced_accuracy,tier3_accuracy,tier3_macro_f1,tier3_balanced_accuracy
all,A,431,0.89559165,0.87892899,0.88492730,0.89636504,0.87006064,0.87875390
all,D,462,0.88528139,0.86458974,0.87392063,0.88672439,0.86342142,0.87253694
all,J,555,0.94474474,0.91661868,0.91648490,0.94534535,0.91065479,0.90952422
all,M,447,0.89709172,0.85226031,0.85603175,0.89709172,0.83838326,0.84281786
fault,A,137,0.83698297,0.81990288,0.84920635,0.83941606,0.81218654,0.84713262
fault,D,62,0.90322581,0.83931217,0.85925926,0.90322581,0.82379458,0.84615385
fault,J,168,0.91865079,0.85921160,0.86846240,0.92063492,0.84654314,0.85549170
fault,M,87,0.93103448,0.93499953,0.94313725,0.93103448,0.93255954,0.94111111
normal,A,294,0.92290249,0.89860229,0.90095238,0.92290249,0.88923890,0.89318996
normal,D,400,0.88250000,0.86853213,0.87655329,0.88416667,0.86938958,0.87675371
normal,J,387,0.95607235,0.93535545,0.93922902,0.95607235,0.93121317,0.93471582
normal,M,360,0.88888889,0.82511203,0.83145363,0.88888889,0.80770085,0.81508206
