condition,participant,seed,split,samples,node_accuracy,node_macro_f1,node_weakest_recall,tier3_accuracy,tier3_macro_f1
A0,A,1,test_all,431,0.9164733178654292,0.9005643149936522,0.3333333333333333,0.9164733178654292,0.8902092076585187
A0,A,1,test_normal,294,0.9319727891156463,0.9134804937818558,0.5,0.9319727891156463,0.9042031230493128
A0,A,1,test_fault,137,0.8832116788321168,0.8671690214547357,0.0,0.8832116788321168,0.8548205782467945
A0,A,2,test_all,431,0.8863109048723898,0.8662174820948104,0.4583333333333333,0.8863109048723898,0.8573832105493493
A0,A,2,test_normal,294,0.9217687074829932,0.8896693654821733,0.5,0.9217687074829932,0.879261639459411
A0,A,2,test_fault,137,0.8102189781021898,0.8025205496258128,0.0,0.8102189781021898,0.8003077011975789
A0,A,42,test_all,431,0.8839907192575406,0.8700051691610463,0.3333333333333333,0.8863109048723898,0.8625895161440431
A0,A,42,test_normal,294,0.9149659863945578,0.8926570226904259,0.5,0.9149659863945578,0.8842519323183052
A0,A,42,test_fault,137,0.8175182481751825,0.7900190603047746,0.0,0.8248175182481752,0.7814313440961408
A0,D,1,test_all,462,0.9155844155844156,0.8816861193936236,0.375,0.9155844155844156,0.8721755431921325
A0,D,1,test_normal,400,0.9175,0.8877315974706234,0.38095238095238093,0.9175,0.8794385777048644
A0,D,1,test_fault,62,0.9032258064516129,0.8285714285714286,0.0,0.9032258064516129,0.8051282051282052
A0,D,2,test_all,462,0.8961038961038961,0.8840087633724941,0.4583333333333333,0.8982683982683982,0.8890114710660794
A0,D,2,test_normal,400,0.8925,0.8867455576663877,0.47619047619047616,0.895,0.8931151818265685
A0,D,2,test_fault,62,0.9193548387096774,0.8896825396825397,0.0,0.9193548387096774,0.8906593406593407
A0,D,42,test_all,462,0.8441558441558441,0.8280743433574793,0.375,0.8463203463203464,0.8290772518193302
A0,D,42,test_normal,400,0.8375,0.8311192383581123,0.38095238095238093,0.84,0.8356149849486135
A0,D,42,test_fault,62,0.8870967741935484,0.7996825396825397,0.0,0.8870967741935484,0.7755961986731218
A0,J,1,test_all,555,0.9531531531531532,0.9260662402052562,0.25,0.954954954954955,0.9183474728779514
A0,J,1,test_normal,387,0.9664082687338501,0.9480828113625293,0.16666666666666666,0.9664082687338501,0.9417545001857957
A0,J,1,test_fault,168,0.9226190476190477,0.8661411029058088,0.0,0.9285714285714286,0.8530680804378424
A0,J,2,test_all,555,0.9477477477477477,0.9018876147865479,0.125,0.9477477477477477,0.8905369920544736
A0,J,2,test_normal,387,0.958656330749354,0.9149157467791008,0.16666666666666666,0.958656330749354,0.903937133460275
A0,J,2,test_fault,168,0.9226190476190477,0.8548663291134442,0.0,0.9226190476190477,0.8392878961897858
A0,J,42,test_all,555,0.9333333333333333,0.9219021859763558,0.125,0.9333333333333333,0.9230799113441014
A0,J,42,test_normal,387,0.9431524547803618,0.943067804776921,0.16666666666666666,0.9431524547803618,0.9479478891480638
A0,J,42,test_fault,168,0.9107142857142857,0.8566273824787757,0.0,0.9107142857142857,0.8472734384651415
A0,M,1,test_all,447,0.9060402684563759,0.8498090166327787,0.4,0.9060402684563759,0.8307690157974158
A0,M,1,test_normal,360,0.9,0.8178395446252589,0.25,0.9,0.7947431636947766
A0,M,1,test_fault,87,0.9310344827586207,0.9443331178625297,0.4,0.9310344827586207,0.936910866910867
A0,M,2,test_all,447,0.9038031319910514,0.8570405327533734,0.2,0.9038031319910514,0.8431743793320898
A0,M,2,test_normal,360,0.9,0.837258535254997,0.25,0.9,0.8201009137641516
A0,M,2,test_fault,87,0.9195402298850575,0.9071895424836601,0.0,0.9195402298850575,0.9041269841269841
A0,M,42,test_all,447,0.8814317673378076,0.8499313723251462,0.5714285714285714,0.8814317673378076,0.8412063842098915
A0,M,42,test_normal,360,0.8666666666666667,0.8202380109788876,0.4,0.8666666666666667,0.8082584827879835
A0,M,42,test_fault,87,0.9425287356321839,0.9534759358288771,0.5,0.9425287356321839,0.9566407700773027
A1,A,1,test_all,431,0.9443155452436195,0.9186839627703415,0.6666666666666666,0.9443155452436195,0.9089076589826778
A1,A,1,test_normal,294,0.9455782312925171,0.9137978045568178,0.5,0.9455782312925171,0.9031867026252195
A1,A,1,test_fault,137,0.9416058394160584,0.9294688644688645,0.5,0.9416058394160584,0.9215591397849463
A2,A,1,test_all,431,0.951276102088167,0.9375419594060795,0.6666666666666666,0.951276102088167,0.9298809880756174
A2,A,1,test_normal,294,0.95578231292517,0.9311896724847623,0.5,0.95578231292517,0.922876520743387
A2,A,1,test_fault,137,0.9416058394160584,0.9473364730507587,0.3333333333333333,0.9416058394160584,0.9405411792508567
A3,A,1,test_all,431,0.9095127610208816,0.8963009781059094,0.4166666666666667,0.9095127610208816,0.8873730246808155
A3,A,1,test_normal,294,0.9251700680272109,0.8994123849931891,0.5,0.9251700680272109,0.8887034277147586
A3,A,1,test_fault,137,0.8759124087591241,0.8872567432567432,0.1111111111111111,0.8759124087591241,0.8849267733980216
A4,A,1,test_all,431,0.9187935034802784,0.9055408967713224,0.4166666666666667,0.9187935034802784,0.8966184048823114
A4,A,1,test_normal,294,0.9387755102040817,0.9170640996379912,0.5,0.9387755102040817,0.9069282933357423
A4,A,1,test_fault,137,0.8759124087591241,0.8784948384948384,0.1111111111111111,0.8759124087591241,0.8750343002797422
A5,A,1,test_all,431,0.9234338747099768,0.9114879857152772,0.4166666666666667,0.9234338747099768,0.9020406487412977
A5,A,1,test_normal,294,0.935374149659864,0.915721766635083,0.5,0.935374149659864,0.907117245697542
A5,A,1,test_fault,137,0.8978102189781022,0.9024948384948385,0.1111111111111111,0.8978102189781022,0.8914435541083507
A6,A,1,test_all,431,0.9211136890951276,0.9038026838825264,0.3333333333333333,0.9211136890951276,0.8925950691210912
A6,A,1,test_normal,294,0.935374149659864,0.9153782225703407,0.5,0.935374149659864,0.9056510839603163
A6,A,1,test_fault,137,0.8905109489051095,0.8719642262499405,0.0,0.8905109489051095,0.8569735080254014
