condition,participant,seed,split,class_id,support,precision,recall,f1
A0,A,1,test_all,0,6,1.0,1.0,1.0
A0,A,1,test_all,1,42,1.0,0.9047619047619048,0.9500000000000001
A0,A,1,test_all,2,24,1.0,0.9583333333333334,0.9787234042553191
A0,A,1,test_all,3,17,1.0,0.9411764705882353,0.9696969696969697
A0,A,1,test_all,4,5,0.7142857142857143,1.0,0.8333333333333333
A0,A,1,test_all,5,6,1.0,1.0,1.0
A0,A,1,test_all,6,6,1.0,1.0,1.0
A0,A,1,test_all,7,45,0.9782608695652174,1.0,0.989010989010989
A0,A,1,test_all,8,45,1.0,0.9777777777777777,0.9887640449438202
A0,A,1,test_all,9,6,1.0,1.0,1.0
A0,A,1,test_all,10,24,1.0,1.0,1.0
A0,A,1,test_all,11,6,0.8571428571428571,1.0,0.923076923076923
A0,A,1,test_all,12,6,0.8571428571428571,1.0,0.923076923076923
A0,A,1,test_all,13,42,1.0,1.0,1.0
A0,A,1,test_all,14,24,0.9090909090909091,0.4166666666666667,0.5714285714285715
A0,A,1,test_all,15,6,1.0,0.8333333333333334,0.9090909090909091
A0,A,1,test_all,16,21,0.8076923076923077,1.0,0.8936170212765957
A0,A,1,test_all,17,5,0.8333333333333334,1.0,0.9090909090909091
A0,A,1,test_all,18,24,0.6216216216216216,0.9583333333333334,0.7540983606557377
A0,A,1,test_all,19,6,1.0,0.8333333333333334,0.9090909090909091
A0,A,1,test_all,20,6,0.6666666666666666,0.3333333333333333,0.4444444444444444
A0,A,1,test_all,21,6,1.0,0.8333333333333334,0.9090909090909091
A0,A,1,test_all,22,6,0.8571428571428571,1.0,0.923076923076923
A0,A,1,test_all,23,5,1.0,1.0,1.0
A0,A,1,test_all,24,6,1.0,0.8333333333333334,0.9090909090909091
A0,A,1,test_all,25,6,0.5,0.8333333333333334,0.625
A0,A,1,test_all,26,6,0.8333333333333334,0.8333333333333334,0.8333333333333334
A0,A,1,test_all,27,6,1.0,0.6666666666666666,0.8
A0,A,1,test_all,28,6,1.0,1.0,1.0
A0,A,1,test_all,29,6,0.8571428571428571,1.0,0.923076923076923
A0,A,1,test_all,30,6,0.8,0.6666666666666666,0.7272727272727272
A0,A,1,test_normal,0,4,1.0,1.0,1.0
