condition,participant,seed,split,class_id,support,precision,recall,f1
A0,A,1,test_all,0,6,0.8,0.6666666666666666,0.7272727272727272
A0,A,1,test_all,1,6,1.0,1.0,1.0
A0,A,1,test_all,2,6,1.0,1.0,1.0
A0,A,1,test_all,3,6,0.8333333333333334,0.8333333333333334,0.8333333333333334
A0,A,1,test_all,4,6,1.0,1.0,1.0
A0,A,1,test_all,5,6,0.5,0.8333333333333334,0.625
A0,A,1,test_all,6,6,0.8571428571428571,1.0,0.923076923076923
A0,A,1,test_all,7,6,1.0,0.6666666666666666,0.8
A0,A,1,test_all,8,6,1.0,1.0,1.0
A0,A,1,test_all,9,6,1.0,0.8333333333333334,0.9090909090909091
A0,A,1,test_all,10,6,0.8571428571428571,1.0,0.923076923076923
A0,A,1,test_all,11,24,0.6216216216216216,0.9583333333333334,0.7540983606557377
A0,A,1,test_all,12,24,1.0,0.9583333333333334,0.9787234042553191
A0,A,1,test_all,13,24,1.0,1.0,1.0
A0,A,1,test_all,14,24,1.0,1.0,1.0
A0,A,1,test_all,15,21,1.0,1.0,1.0
A0,A,1,test_all,16,21,1.0,0.8571428571428571,0.923076923076923
A0,A,1,test_all,17,21,0.8076923076923077,1.0,0.8936170212765957
A0,A,1,test_all,18,21,1.0,1.0,1.0
A0,A,1,test_all,19,21,1.0,0.9523809523809523,0.975609756097561
A0,A,1,test_all,20,21,0.9545454545454546,1.0,0.9767441860465117
A0,A,1,test_all,21,21,1.0,0.9523809523809523,0.975609756097561
A0,A,1,test_all,22,17,1.0,0.9411764705882353,0.9696969696969697
A0,A,1,test_all,23,24,0.9090909090909091,0.4166666666666667,0.5714285714285715
A0,A,1,test_all,24,24,1.0,1.0,1.0
A0,A,1,test_all,25,6,1.0,0.8333333333333334,0.9090909090909091
A0,A,1,test_all,26,6,0.8571428571428571,1.0,0.923076923076923
A0,A,1,test_all,27,6,0.8571428571428571,1.0,0.923076923076923
A0,A,1,test_all,28,6,1.0,0.8333333333333334,0.9090909090909091
A0,A,1,test_all,29,6,0.6666666666666666,0.3333333333333333,0.4444444444444444
A0,A,1,test_all,30,6,1.0,1.0,1.0
A0,A,1,test_all,31,6,1.0,0.8333333333333334,0.9090909090909091
A0,A,1,test_all,32,5,1.0,1.0,1.0
A0,A,1,test_all,33,5,0.8333333333333334,1.0,0.9090909090909091
A0,A,1,test_all,34,5,0.7142857142857143,1.0,0.8333333333333333
A0,A,1,test_normal,0,4,0.6666666666666666,0.5,0.5714285714285715
A0,A,1,test_normal,1,4,1.0,1.0,1.0
A0,A,1,test_normal,2,4,1.0,1.0,1.0
A0,A,1,test_normal,3,4,0.75,0.75,0.75
A0,A,1,test_normal,4,4,1.0,1.0,1.0
A0,A,1,test_normal,5,4,0.6,0.75,0.6666666666666665
A0,A,1,test_normal,6,4,0.8,1.0,0.888888888888889
A0,A,1,test_normal,7,4,1.0,0.75,0.8571428571428571
A0,A,1,test_normal,8,4,1.0,1.0,1.0
A0,A,1,test_normal,9,4,1.0,1.0,1.0
A0,A,1,test_normal,10,4,1.0,1.0,1.0
A0,A,1,test_normal,11,15,0.6818181818181818,1.0,0.8108108108108109
A0,A,1,test_normal,12,15,1.0,0.9333333333333333,0.9655172413793104
A0,A,1,test_normal,13,15,1.0,1.0,1.0
A0,A,1,test_normal,14,15,1.0,1.0,1.0
A0,A,1,test_normal,15,15,1.0,1.0,1.0
A0,A,1,test_normal,16,15,1.0,0.8,0.888888888888889
A0,A,1,test_normal,17,15,0.7894736842105263,1.0,0.8823529411764706
A0,A,1,test_normal,18,15,1.0,1.0,1.0
A0,A,1,test_normal,19,15,1.0,1.0,1.0
A0,A,1,test_normal,20,15,1.0,1.0,1.0
A0,A,1,test_normal,21,15,1.0,1.0,1.0
A0,A,1,test_normal,22,15,1.0,0.9333333333333333,0.9655172413793104
A0,A,1,test_normal,23,15,1.0,0.6,0.7499999999999999
A0,A,1,test_normal,24,15,1.0,1.0,1.0
A0,A,1,test_normal,25,4,1.0,1.0,1.0
A0,A,1,test_normal,26,4,1.0,1.0,1.0
A0,A,1,test_normal,27,4,0.8,1.0,0.888888888888889
A0,A,1,test_normal,28,4,1.0,0.75,0.8571428571428571
A0,A,1,test_normal,29,4,0.6666666666666666,0.5,0.5714285714285715
A0,A,1,test_normal,30,4,1.0,1.0,1.0
A0,A,1,test_normal,31,4,1.0,0.75,0.8571428571428571
A0,A,1,test_normal,32,4,1.0,1.0,1.0
A0,A,1,test_normal,33,4,1.0,1.0,1.0
A0,A,1,test_normal,34,4,0.6666666666666666,1.0,0.8
A0,A,1,test_fault,0,2,1.0,1.0,1.0
A0,A,1,test_fault,1,2,1.0,1.0,1.0
A0,A,1,test_fault,2,2,1.0,1.0,1.0
A0,A,1,test_fault,3,2,1.0,1.0,1.0
A0,A,1,test_fault,4,2,1.0,1.0,1.0
A0,A,1,test_fault,5,2,0.4,1.0,0.5714285714285715
A0,A,1,test_fault,6,2,1.0,1.0,1.0
A0,A,1,test_fault,7,2,1.0,0.5,0.6666666666666666
A0,A,1,test_fault,8,2,1.0,1.0,1.0
A0,A,1,test_fault,9,2,1.0,0.5,0.6666666666666666
A0,A,1,test_fault,10,2,0.6666666666666666,1.0,0.8
A0,A,1,test_fault,11,9,0.5333333333333333,0.8888888888888888,0.6666666666666667
A0,A,1,test_fault,12,9,1.0,1.0,1.0
A0,A,1,test_fault,13,9,1.0,1.0,1.0
A0,A,1,test_fault,14,9,1.0,1.0,1.0
A0,A,1,test_fault,15,6,1.0,1.0,1.0
A0,A,1,test_fault,16,6,1.0,1.0,1.0
A0,A,1,test_fault,17,6,0.8571428571428571,1.0,0.923076923076923
A0,A,1,test_fault,18,6,1.0,1.0,1.0
A0,A,1,test_fault,19,6,1.0,0.8333333333333334,0.9090909090909091
A0,A,1,test_fault,20,6,0.8571428571428571,1.0,0.923076923076923
A0,A,1,test_fault,21,6,1.0,0.8333333333333334,0.9090909090909091
A0,A,1,test_fault,22,2,1.0,1.0,1.0
A0,A,1,test_fault,23,9,0.5,0.1111111111111111,0.1818181818181818
A0,A,1,test_fault,24,9,1.0,1.0,1.0
A0,A,1,test_fault,25,2,1.0,0.5,0.6666666666666666
A0,A,1,test_fault,26,2,0.6666666666666666,1.0,0.8
A0,A,1,test_fault,27,2,1.0,1.0,1.0
A0,A,1,test_fault,28,2,1.0,1.0,1.0
A0,A,1,test_fault,29,2,0.0,0.0,0.0
A0,A,1,test_fault,30,2,1.0,1.0,1.0
A0,A,1,test_fault,31,2,1.0,1.0,1.0
A0,A,1,test_fault,32,1,1.0,1.0,1.0
A0,A,1,test_fault,33,1,0.5,1.0,0.6666666666666666
A0,A,1,test_fault,34,1,1.0,1.0,1.0
A0,A,2,test_all,0,6,1.0,0.6666666666666666,0.8
A0,A,2,test_all,1,6,1.0,1.0,1.0
A0,A,2,test_all,2,6,1.0,1.0,1.0
A0,A,2,test_all,3,6,0.8333333333333334,0.8333333333333334,0.8333333333333334
A0,A,2,test_all,4,6,1.0,1.0,1.0
A0,A,2,test_all,5,6,0.5555555555555556,0.8333333333333334,0.6666666666666667
A0,A,2,test_all,6,6,0.7142857142857143,0.8333333333333334,0.7692307692307692
A0,A,2,test_all,7,6,0.7142857142857143,0.8333333333333334,0.7692307692307692
A0,A,2,test_all,8,6,1.0,1.0,1.0
A0,A,2,test_all,9,6,1.0,0.6666666666666666,0.8
A0,A,2,test_all,10,6,0.8333333333333334,0.8333333333333334,0.8333333333333334
A0,A,2,test_all,11,24,0.7096774193548387,0.9166666666666666,0.7999999999999999
A0,A,2,test_all,12,24,1.0,0.9583333333333334,0.9787234042553191
A0,A,2,test_all,13,24,1.0,0.9166666666666666,0.9565217391304348
A0,A,2,test_all,14,24,0.96,1.0,0.9795918367346939
A0,A,2,test_all,15,21,1.0,0.9047619047619048,0.9500000000000001
A0,A,2,test_all,16,21,0.9090909090909091,0.9523809523809523,0.9302325581395349
A0,A,2,test_all,17,21,0.75,1.0,0.8571428571428571
A0,A,2,test_all,18,21,0.9523809523809523,0.9523809523809523,0.9523809523809523
A0,A,2,test_all,19,21,0.9411764705882353,0.7619047619047619,0.8421052631578947
A0,A,2,test_all,20,21,0.95,0.9047619047619048,0.9268292682926829
A0,A,2,test_all,21,21,1.0,0.9047619047619048,0.9500000000000001
A0,A,2,test_all,22,17,0.8947368421052632,1.0,0.9444444444444444
A0,A,2,test_all,23,24,0.8461538461538461,0.4583333333333333,0.5945945945945945
A0,A,2,test_all,24,24,1.0,1.0,1.0
A0,A,2,test_all,25,6,0.8333333333333334,0.8333333333333334,0.8333333333333334
A0,A,2,test_all,26,6,0.75,1.0,0.8571428571428571
A0,A,2,test_all,27,6,1.0,0.6666666666666666,0.8
A0,A,2,test_all,28,6,0.8,0.6666666666666666,0.7272727272727272
A0,A,2,test_all,29,6,0.75,0.5,0.6
A0,A,2,test_all,30,6,1.0,1.0,1.0
A0,A,2,test_all,31,6,0.8571428571428571,1.0,0.923076923076923
A0,A,2,test_all,32,5,1.0,1.0,1.0
A0,A,2,test_all,33,5,0.4,0.8,0.5333333333333333
A0,A,2,test_all,34,5,0.8333333333333334,1.0,0.9090909090909091
A0,A,2,test_normal,0,4,1.0,0.5,0.6666666666666666
A0,A,2,test_normal,1,4,1.0,1.0,1.0
A0,A,2,test_normal,2,4,1.0,1.0,1.0
A0,A,2,test_normal,3,4,0.75,0.75,0.75
A0,A,2,test_normal,4,4,1.0,1.0,1.0
A0,A,2,test_normal,5,4,0.6,0.75,0.6666666666666665
A0,A,2,test_normal,6,4,0.75,0.75,0.75
A0,A,2,test_normal,7,4,0.8,1.0,0.888888888888889
A0,A,2,test_normal,8,4,1.0,1.0,1.0
A0,A,2,test_normal,9,4,1.0,0.75,0.8571428571428571
A0,A,2,test_normal,10,4,1.0,0.75,0.8571428571428571
A0,A,2,test_normal,11,15,0.7777777777777778,0.9333333333333333,0.8484848484848485
A0,A,2,test_normal,12,15,1.0,0.9333333333333333,0.9655172413793104
A0,A,2,test_normal,13,15,1.0,1.0,1.0
A0,A,2,test_normal,14,15,1.0,1.0,1.0
A0,A,2,test_normal,15,15,1.0,0.9333333333333333,0.9655172413793104
A0,A,2,test_normal,16,15,0.9333333333333333,0.9333333333333333,0.9333333333333333
A0,A,2,test_normal,17,15,0.8333333333333334,1.0,0.9090909090909091
A0,A,2,test_normal,18,15,1.0,0.9333333333333333,0.9655172413793104
A0,A,2,test_normal,19,15,0.9333333333333333,0.9333333333333333,0.9333333333333333
A0,A,2,test_normal,20,15,1.0,0.9333333333333333,0.9655172413793104
A0,A,2,test_normal,21,15,1.0,1.0,1.0
A0,A,2,test_normal,22,15,1.0,1.0,1.0
A0,A,2,test_normal,23,15,0.9166666666666666,0.7333333333333333,0.8148148148148148
A0,A,2,test_normal,24,15,1.0,1.0,1.0
A0,A,2,test_normal,25,4,0.8,1.0,0.888888888888889
A0,A,2,test_normal,26,4,0.8,1.0,0.888888888888889
A0,A,2,test_normal,27,4,1.0,0.75,0.8571428571428571
A0,A,2,test_normal,28,4,0.75,0.75,0.75
A0,A,2,test_normal,29,4,0.6666666666666666,0.5,0.5714285714285715
A0,A,2,test_normal,30,4,1.0,1.0,1.0
A0,A,2,test_normal,31,4,0.8,1.0,0.888888888888889
A0,A,2,test_normal,32,4,1.0,1.0,1.0
A0,A,2,test_normal,33,4,0.6,0.75,0.6666666666666665
A0,A,2,test_normal,34,4,0.8,1.0,0.888888888888889
A0,A,2,test_fault,0,2,1.0,1.0,1.0
A0,A,2,test_fault,1,2,1.0,1.0,1.0
A0,A,2,test_fault,2,2,1.0,1.0,1.0
A0,A,2,test_fault,3,2,1.0,1.0,1.0
A0,A,2,test_fault,4,2,1.0,1.0,1.0
A0,A,2,test_fault,5,2,0.5,1.0,0.6666666666666666
A0,A,2,test_fault,6,2,0.6666666666666666,1.0,0.8
A0,A,2,test_fault,7,2,0.5,0.5,0.5
A0,A,2,test_fault,8,2,1.0,1.0,1.0
A0,A,2,test_fault,9,2,1.0,0.5,0.6666666666666666
A0,A,2,test_fault,10,2,0.6666666666666666,1.0,0.8
A0,A,2,test_fault,11,9,0.6153846153846154,0.8888888888888888,0.7272727272727274
A0,A,2,test_fault,12,9,1.0,1.0,1.0
A0,A,2,test_fault,13,9,1.0,0.7777777777777778,0.8750000000000001
A0,A,2,test_fault,14,9,0.9,1.0,0.9473684210526316
A0,A,2,test_fault,15,6,1.0,0.8333333333333334,0.9090909090909091
A0,A,2,test_fault,16,6,0.8571428571428571,1.0,0.923076923076923
A0,A,2,test_fault,17,6,0.6,1.0,0.7499999999999999
A0,A,2,test_fault,18,6,0.8571428571428571,1.0,0.923076923076923
A0,A,2,test_fault,19,6,1.0,0.3333333333333333,0.5
A0,A,2,test_fault,20,6,0.8333333333333334,0.8333333333333334,0.8333333333333334
A0,A,2,test_fault,21,6,1.0,0.6666666666666666,0.8
A0,A,2,test_fault,22,2,0.5,1.0,0.6666666666666666
A0,A,2,test_fault,23,9,0.0,0.0,0.0
A0,A,2,test_fault,24,9,1.0,1.0,1.0
A0,A,2,test_fault,25,2,1.0,0.5,0.6666666666666666
A0,A,2,test_fault,26,2,0.6666666666666666,1.0,0.8
A0,A,2,test_fault,27,2,1.0,0.5,0.6666666666666666
A0,A,2,test_fault,28,2,1.0,0.5,0.6666666666666666
A0,A,2,test_fault,29,2,1.0,0.5,0.6666666666666666
A0,A,2,test_fault,30,2,1.0,1.0,1.0
A0,A,2,test_fault,31,2,1.0,1.0,1.0
A0,A,2,test_fault,32,1,1.0,1.0,1.0
A0,A,2,test_fault,33,1,0.2,1.0,0.33333333333333337
A0,A,2,test_fault,34,1,1.0,1.0,1.0
A0,A,42,test_all,0,6,0.8,0.6666666666666666,0.7272727272727272
A0,A,42,test_all,1,6,1.0,0.8333333333333334,0.9090909090909091
A0,A,42,test_all,2,6,0.75,1.0,0.8571428571428571
A0,A,42,test_all,3,6,0.7142857142857143,0.8333333333333334,0.7692307692307692
A0,A,42,test_all,4,6,1.0,1.0,1.0
A0,A,42,test_all,5,6,0.7142857142857143,0.8333333333333334,0.7692307692307692
A0,A,42,test_all,6,6,1.0,0.8333333333333334,0.9090909090909091
A0,A,42,test_all,7,6,0.8,0.6666666666666666,0.7272727272727272
A0,A,42,test_all,8,6,0.75,1.0,0.8571428571428571
A0,A,42,test_all,9,6,1.0,0.6666666666666666,0.8
A0,A,42,test_all,10,6,1.0,1.0,1.0
A0,A,42,test_all,11,24,0.6285714285714286,0.9166666666666666,0.7457627118644068
A0,A,42,test_all,12,24,1.0,1.0,1.0
A0,A,42,test_all,13,24,1.0,0.9583333333333334,0.9787234042553191
A0,A,42,test_all,14,24,1.0,0.75,0.8571428571428571
A0,A,42,test_all,15,21,1.0,0.9523809523809523,0.975609756097561
A0,A,42,test_all,16,21,0.9545454545454546,1.0,0.9767441860465117
A0,A,42,test_all,17,21,0.84,1.0,0.9130434782608696
