condition,participant,seed,split,stage,samples,node_accuracy,node_macro_f1,tier3_accuracy,tier3_macro_f1
A0,A,1,test_all,1,66,0.8939393939393939,0.925068870523416,0.8939393939393939,0.925068870523416
A0,A,1,test_all,2,308,0.9285714285714286,0.9299003534736964,0.9285714285714286,0.9095339361268003
A0,A,1,test_all,3,57,0.8771929824561403,0.9227272727272726,0.8771929824561403,0.9227272727272726
A0,A,1,test_normal,1,44,0.8863636363636364,0.920995670995671,0.8863636363636364,0.920995670995671
A0,A,1,test_normal,2,210,0.9476190476190476,0.9473633659739136,0.9476190476190476,0.9321566655798534
A0,A,1,test_normal,3,40,0.9,0.9380952380952381,0.9,0.9380952380952381
A0,A,1,test_fault,1,22,0.9090909090909091,0.9212121212121211,0.9090909090909091,0.9212121212121211
A0,A,1,test_fault,2,98,0.8877551020408163,0.8937728937728936,0.8877551020408163,0.8661342687555388
A0,A,1,test_fault,3,17,0.8235294117647058,0.8666666666666666,0.8235294117647058,0.8666666666666666
A0,A,2,test_all,1,66,0.8636363636363636,0.9085399449035813,0.8636363636363636,0.9085399449035813
A0,A,2,test_all,2,308,0.8993506493506493,0.9055272666491587,0.8993506493506493,0.8938649386799685
A0,A,2,test_all,3,57,0.8421052631578947,0.9064646464646465,0.8421052631578947,0.9064646464646465
A0,A,2,test_normal,1,44,0.8409090909090909,0.8950216450216452,0.8409090909090909,0.8950216450216449
A0,A,2,test_normal,2,210,0.9476190476190476,0.9519743825778307,0.9476190476190476,0.9446324387455304
A0,A,2,test_normal,3,40,0.875,0.9238095238095239,0.875,0.9238095238095239
A0,A,2,test_fault,1,22,0.9090909090909091,0.9212121212121211,0.9090909090909091,0.9212121212121211
A0,A,2,test_fault,2,98,0.7959183673469388,0.775348993112151,0.7959183673469388,0.757620540379161
A0,A,2,test_fault,3,17,0.7647058823529411,0.8666666666666666,0.7647058823529411,0.8666666666666666
A0,A,42,test_all,1,66,0.8484848484848485,0.8916295825386734,0.8484848484848485,0.8916295825386734
A0,A,42,test_all,2,308,0.8928571428571429,0.8945608353076713,0.8961038961038961,0.8813945774136105
A0,A,42,test_all,3,57,0.8771929824561403,0.9227272727272726,0.8771929824561403,0.9227272727272726
A0,A,42,test_normal,1,44,0.8181818181818182,0.871933621933622,0.8181818181818182,0.8719336219336218
A0,A,42,test_normal,2,210,0.9333333333333333,0.9328103571795793,0.9333333333333333,0.9228159108216663
A0,A,42,test_normal,3,40,0.925,0.9571428571428573,0.925,0.9571428571428571
A0,A,42,test_fault,1,22,0.9090909090909091,0.9212121212121211,0.9090909090909091,0.9212121212121211
A0,A,42,test_fault,2,98,0.8061224489795918,0.8155238412381269,0.8163265306122449,0.7991038333647029
A0,A,42,test_fault,3,17,0.7647058823529411,0.7333333333333333,0.7647058823529411,0.7333333333333333
A0,D,1,test_all,1,66,0.7727272727272727,0.828740956013683,0.7727272727272727,0.8287409560136832
A0,D,1,test_all,2,340,0.9382352941176471,0.9316636374034394,0.9382352941176471,0.9211829717389761
A0,D,1,test_all,3,56,0.9464285714285714,0.9516233766233766,0.9464285714285714,0.9516233766233766
A0,D,1,test_normal,1,55,0.7818181818181819,0.8285320739866194,0.7818181818181819,0.8285320739866194
A0,D,1,test_normal,2,294,0.935374149659864,0.9302897660160682,0.935374149659864,0.9216046721603932
