condition,label_space,rank,true_id,pred_id,count
A0,node,1,20,19,38
A0,node,2,24,12,33
A0,node,3,16,17,22
A0,node,4,24,25,20
A0,node,5,34,24,16
A0,node,6,7,29,14
A0,node,7,18,23,14
A0,node,8,6,30,13
A0,node,9,8,28,13
A0,node,10,1,35,12
A0,node,11,24,34,12
A0,node,12,12,25,11
A1,node,1,25,12,5
A1,node,2,24,2,3
A1,node,3,1,4,2
A1,node,4,4,17,1
A1,node,5,5,6,1
A1,node,6,32,4,1
A1,node,7,30,6,1
A1,node,8,28,8,1
A1,node,9,29,7,1
A1,node,10,33,3,1
A1,node,11,35,1,1
A1,node,12,24,12,1
A2,node,1,24,12,5
A2,node,2,24,2,2
A2,node,3,1,4,1
A2,node,4,17,18,1
A2,node,5,1,35,1
A2,node,6,4,35,1
A2,node,7,32,4,1
A2,node,8,30,6,1
A2,node,9,28,8,1
A2,node,10,29,7,1
A2,node,11,12,24,1
A2,node,12,8,6,1
A3,node,1,24,12,14
A3,node,2,30,6,3
A3,node,3,22,21,3
A3,node,4,17,18,2
A3,node,5,19,20,1
A3,node,6,23,18,1
A3,node,7,1,4,1
A3,node,8,1,35,1
A3,node,9,4,35,1
A3,node,10,6,30,1
A3,node,11,8,28,1
A3,node,12,7,29,1
A4,node,1,24,12,13
A4,node,2,30,6,3
A4,node,3,22,21,3
A4,node,4,23,18,1
A4,node,5,35,31,1
A4,node,6,1,4,1
A4,node,7,17,18,1
A4,node,8,1,35,1
A4,node,9,4,35,1
A4,node,10,6,30,1
A4,node,11,8,28,1
A4,node,12,29,7,1
A5,node,1,24,12,14
A5,node,2,17,18,2
A5,node,3,30,6,2
A5,node,4,19,20,1
A5,node,5,1,4,1
A5,node,6,1,35,1
A5,node,7,4,35,1
A5,node,8,6,30,1
A5,node,9,8,28,1
A5,node,10,7,29,1
A5,node,11,32,1,1
A5,node,12,29,7,1
A6,node,1,24,12,13
A6,node,2,30,6,4
A6,node,3,17,18,2
A6,node,4,23,18,1
A6,node,5,1,4,1
A6,node,6,1,35,1
A6,node,7,4,35,1
A6,node,8,6,30,1
A6,node,9,32,1,1
A6,node,10,28,8,1
A6,node,11,29,7,1
A6,node,12,10,27,1
