condition,split,runs,node_accuracy,node_macro_f1,node_weakest_recall,tier3_accuracy,tier3_macro_f1,tier3_weakest_recall
S1,test_all,1,0.2529002320185615,0.2060896568924457,0.0,0.2552204176334107,0.20912684265864917,0.0
S1,test_normal,1,0.25510204081632654,0.20784226199364036,0.0,0.25510204081632654,0.21174310328685755,0.0
S1,test_fault,1,0.24817518248175183,0.20155058685749222,0.0,0.25547445255474455,0.20305018532268757,0.0
S2,test_all,1,0.5081206496519721,0.4756571276856912,0.0,0.5220417633410673,0.47378846760068394,0.0
S2,test_normal,1,0.5306122448979592,0.483147718857658,0.0,0.54421768707483,0.47540570215791506,0.0
S2,test_fault,1,0.45985401459854014,0.45090417518988946,0.0,0.4744525547445255,0.4693135165579683,0.0
S3,test_all,1,0.8468677494199536,0.7995313116077398,0.0,0.8491879350348028,0.7768942448881101,0.0
S3,test_normal,1,0.8843537414965986,0.8286277325972224,0.0,0.8877551020408163,0.8091798737397673,0.0
S3,test_fault,1,0.7664233576642335,0.7346770401940681,0.0,0.7664233576642335,0.704944269422379,0.0
S4,test_all,1,0.7610208816705336,0.7096505468458078,0.0,0.7726218097447796,0.690043676153774,0.0
S4,test_normal,1,0.7891156462585034,0.7249854811764543,0.0,0.7959183673469388,0.7031643890173608,0.0
S4,test_fault,1,0.7007299270072993,0.671085505972724,0.0,0.7226277372262774,0.6577005161529373,0.0
S5,test_all,1,0.23201856148491878,0.1761839450166624,0.0,0.23897911832946636,0.18367148869186842,0.0
S5,test_normal,1,0.2687074829931973,0.20640425617443073,0.0,0.2789115646258503,0.21657541991272186,0.0
S5,test_fault,1,0.15328467153284672,0.10853426766470245,0.0,0.15328467153284672,0.10960935589266585,0.0
S6,test_all,1,0.25986078886310904,0.2194204422215227,0.0,0.2853828306264501,0.23781598336482782,0.0
S6,test_normal,1,0.2653061224489796,0.20677788018069804,0.0,0.29591836734693877,0.22602073171588433,0.0
S6,test_fault,1,0.24817518248175183,0.21766345820784985,0.0,0.26277372262773724,0.23214287265064731,0.0
S7,test_all,1,0.5939675174013921,0.5898824147264121,0.0,0.7099767981438515,0.6317967180831973,0.0
S7,test_normal,1,0.6530612244897959,0.6396411219369268,0.0,0.7448979591836735,0.6720986974596057,0.0
S7,test_fault,1,0.46715328467153283,0.4531030260062518,0.0,0.635036496350365,0.521445132080983,0.0
S8,test_all,1,0.5846867749419954,0.5461847986382148,0.0,0.6751740139211136,0.5735834466197204,0.0
S8,test_normal,1,0.6326530612244898,0.5743558470102446,0.0,0.7040816326530612,0.5910152118046671,0.0
S8,test_fault,1,0.48175182481751827,0.4603601036426934,0.0,0.6131386861313869,0.5194629747374118,0.0
S9,test_all,1,,,,0.24129930394431554,0.17168564233957168,0.0
S9,test_normal,1,,,,0.24149659863945577,0.16911569741082164,0.0
S9,test_fault,1,,,,0.24087591240875914,0.16322585932610142,0.0
S10,test_all,1,,,,0.3480278422273782,0.25005586747052794,0.0
S10,test_normal,1,,,,0.3707482993197279,0.24593568533732377,0.0
S10,test_fault,1,,,,0.29927007299270075,0.22407062366265404,0.0
S11,test_all,1,,,,0.740139211136891,0.6719928195132647,0.0
S11,test_normal,1,,,,0.7857142857142857,0.7015092474929453,0.0
S11,test_fault,1,,,,0.6423357664233577,0.584381009168785,0.0
S12,test_all,1,,,,0.665893271461717,0.5786891104843331,0.0
S12,test_normal,1,,,,0.7040816326530612,0.6017754034682739,0.0
S12,test_fault,1,,,,0.583941605839416,0.48796512627157784,0.0
