condition,participant,seed,split,class_id,support,precision,recall,f1
S1,A,1,test_all,0,6,0.0,0.0,0.0
S1,A,1,test_all,1,42,0.7142857142857143,0.35714285714285715,0.4761904761904762
S1,A,1,test_all,2,24,0.5,0.25,0.3333333333333333
S1,A,1,test_all,3,17,0.25,0.23529411764705882,0.24242424242424243
S1,A,1,test_all,4,5,0.0,0.0,0.0
S1,A,1,test_all,5,6,0.45454545454545453,0.8333333333333334,0.5882352941176471
S1,A,1,test_all,6,6,0.0,0.0,0.0
S1,A,1,test_all,7,45,0.0,0.0,0.0
S1,A,1,test_all,8,45,0.4,0.044444444444444446,0.07999999999999999
S1,A,1,test_all,9,6,0.047619047619047616,0.3333333333333333,0.08333333333333333
S1,A,1,test_all,10,24,0.44680851063829785,0.875,0.591549295774648
S1,A,1,test_all,11,6,0.25,0.16666666666666666,0.2
S1,A,1,test_all,12,6,1.0,0.6666666666666666,0.8
S1,A,1,test_all,13,42,0.64,0.38095238095238093,0.4776119402985074
S1,A,1,test_all,14,24,0.0,0.0,0.0
S1,A,1,test_all,15,6,0.0425531914893617,0.6666666666666666,0.08
S1,A,1,test_all,16,21,0.32142857142857145,0.42857142857142855,0.3673469387755102
S1,A,1,test_all,17,5,0.0,0.0,0.0
S1,A,1,test_all,18,24,0.375,0.25,0.3
S1,A,1,test_all,19,6,0.25,0.16666666666666666,0.2
S1,A,1,test_all,20,6,0.0,0.0,0.0
S1,A,1,test_all,21,6,0.3333333333333333,0.3333333333333333,0.3333333333333333
S1,A,1,test_all,22,6,0.0,0.0,0.0
S1,A,1,test_all,23,5,0.5,1.0,0.6666666666666666
S1,A,1,test_all,24,6,0.0,0.0,0.0
S1,A,1,test_all,25,6,0.25,0.3333333333333333,0.28571428571428575
S1,A,1,test_all,26,6,0.0,0.0,0.0
S1,A,1,test_all,27,6,0.0,0.0,0.0
S1,A,1,test_all,28,6,0.125,0.6666666666666666,0.21052631578947367
S1,A,1,test_all,29,6,0.0,0.0,0.0
S1,A,1,test_all,30,6,0.16666666666666666,0.16666666666666666,0.16666666666666666
S1,A,1,test_normal,0,4,0.0,0.0,0.0
S1,A,1,test_normal,1,30,0.6923076923076923,0.3,0.41860465116279066
S1,A,1,test_normal,2,15,0.4444444444444444,0.26666666666666666,0.33333333333333337
S1,A,1,test_normal,3,15,0.3333333333333333,0.2,0.25
S1,A,1,test_normal,4,4,0.0,0.0,0.0
S1,A,1,test_normal,5,4,0.42857142857142855,0.75,0.5454545454545454
S1,A,1,test_normal,6,4,0.0,0.0,0.0
S1,A,1,test_normal,7,30,0.0,0.0,0.0
S1,A,1,test_normal,8,30,0.4,0.06666666666666667,0.1142857142857143
S1,A,1,test_normal,9,4,0.07407407407407407,0.5,0.12903225806451613
S1,A,1,test_normal,10,15,0.4827586206896552,0.9333333333333333,0.6363636363636364
S1,A,1,test_normal,11,4,0.3333333333333333,0.25,0.28571428571428575
S1,A,1,test_normal,12,4,1.0,0.5,0.6666666666666666
S1,A,1,test_normal,13,30,0.6,0.4,0.48
S1,A,1,test_normal,14,15,0.0,0.0,0.0
S1,A,1,test_normal,15,4,0.0273972602739726,0.5,0.051948051948051945
S1,A,1,test_normal,16,15,0.21052631578947367,0.26666666666666666,0.23529411764705882
S1,A,1,test_normal,17,4,0.0,0.0,0.0
S1,A,1,test_normal,18,15,0.625,0.3333333333333333,0.43478260869565216
S1,A,1,test_normal,19,4,0.0,0.0,0.0
S1,A,1,test_normal,20,4,0.0,0.0,0.0
S1,A,1,test_normal,21,4,0.4,0.5,0.4444444444444445
S1,A,1,test_normal,22,4,0.0,0.0,0.0
S1,A,1,test_normal,23,4,0.4444444444444444,1.0,0.6153846153846153
S1,A,1,test_normal,24,4,0.0,0.0,0.0
S1,A,1,test_normal,25,4,0.3333333333333333,0.5,0.4
S1,A,1,test_normal,26,4,0.0,0.0,0.0
S1,A,1,test_normal,27,4,0.0,0.0,0.0
S1,A,1,test_normal,28,4,0.16666666666666666,0.75,0.27272727272727276
S1,A,1,test_normal,29,4,0.0,0.0,0.0
S1,A,1,test_normal,30,4,0.25,0.25,0.25
S1,A,1,test_fault,0,2,0.0,0.0,0.0
S1,A,1,test_fault,1,12,0.75,0.5,0.6
S1,A,1,test_fault,2,9,0.6666666666666666,0.2222222222222222,0.3333333333333333
S1,A,1,test_fault,3,2,0.14285714285714285,0.5,0.22222222222222224
S1,A,1,test_fault,4,1,0.0,0.0,0.0
S1,A,1,test_fault,5,2,0.5,1.0,0.6666666666666666
S1,A,1,test_fault,6,2,0.0,0.0,0.0
S1,A,1,test_fault,7,15,0.0,0.0,0.0
S1,A,1,test_fault,8,15,0.0,0.0,0.0
S1,A,1,test_fault,9,2,0.0,0.0,0.0
S1,A,1,test_fault,10,9,0.3888888888888889,0.7777777777777778,0.5185185185185185
S1,A,1,test_fault,11,2,0.0,0.0,0.0
S1,A,1,test_fault,12,2,1.0,1.0,1.0
S1,A,1,test_fault,13,12,0.8,0.3333333333333333,0.47058823529411764
S1,A,1,test_fault,14,9,0.0,0.0,0.0
S1,A,1,test_fault,15,2,0.09523809523809523,1.0,0.17391304347826084
S1,A,1,test_fault,16,6,0.5555555555555556,0.8333333333333334,0.6666666666666667
S1,A,1,test_fault,17,1,0.0,0.0,0.0
S1,A,1,test_fault,18,9,0.125,0.1111111111111111,0.11764705882352941
S1,A,1,test_fault,19,2,0.3333333333333333,0.5,0.4
S1,A,1,test_fault,20,2,0.0,0.0,0.0
S1,A,1,test_fault,21,2,0.0,0.0,0.0
S1,A,1,test_fault,22,2,0.0,0.0,0.0
S1,A,1,test_fault,23,1,1.0,1.0,1.0
S1,A,1,test_fault,24,2,0.0,0.0,0.0
S1,A,1,test_fault,25,2,0.0,0.0,0.0
S1,A,1,test_fault,26,2,0.0,0.0,0.0
S1,A,1,test_fault,27,2,0.0,0.0,0.0
S1,A,1,test_fault,28,2,0.07142857142857142,0.5,0.125
S1,A,1,test_fault,29,2,0.0,0.0,0.0
S1,A,1,test_fault,30,2,0.0,0.0,0.0
S2,A,1,test_all,0,6,0.0,0.0,0.0
S2,A,1,test_all,1,42,0.9285714285714286,0.6190476190476191,0.742857142857143
S2,A,1,test_all,2,24,0.5172413793103449,0.625,0.5660377358490567
S2,A,1,test_all,3,17,0.5555555555555556,0.5882352941176471,0.5714285714285715
S2,A,1,test_all,4,5,0.0,0.0,0.0
S2,A,1,test_all,5,6,0.5555555555555556,0.8333333333333334,0.6666666666666667
S2,A,1,test_all,6,6,0.3333333333333333,0.8333333333333334,0.47619047619047616
S2,A,1,test_all,7,45,0.6363636363636364,0.3111111111111111,0.417910447761194
S2,A,1,test_all,8,45,0.875,0.6222222222222222,0.7272727272727274
S2,A,1,test_all,9,6,0.13043478260869565,0.5,0.20689655172413793
S2,A,1,test_all,10,24,0.6296296296296297,0.7083333333333334,0.6666666666666667
S2,A,1,test_all,11,6,1.0,1.0,1.0
S2,A,1,test_all,12,6,0.5555555555555556,0.8333333333333334,0.6666666666666667
S2,A,1,test_all,13,42,0.6296296296296297,0.40476190476190477,0.4927536231884058
S2,A,1,test_all,14,24,0.42857142857142855,0.125,0.19354838709677416
S2,A,1,test_all,15,6,0.125,0.5,0.2
S2,A,1,test_all,16,21,0.7368421052631579,0.6666666666666666,0.7
S2,A,1,test_all,17,5,0.09523809523809523,0.4,0.15384615384615385
S2,A,1,test_all,18,24,0.5416666666666666,0.5416666666666666,0.5416666666666666
S2,A,1,test_all,19,6,0.36363636363636365,0.6666666666666666,0.4705882352941177
S2,A,1,test_all,20,6,0.7142857142857143,0.8333333333333334,0.7692307692307692
S2,A,1,test_all,21,6,1.0,1.0,1.0
S2,A,1,test_all,22,6,0.0,0.0,0.0
S2,A,1,test_all,23,5,0.26666666666666666,0.8,0.4
S2,A,1,test_all,24,6,0.625,0.8333333333333334,0.7142857142857143
S2,A,1,test_all,25,6,0.2,0.16666666666666666,0.1818181818181818
S2,A,1,test_all,26,6,0.6666666666666666,0.3333333333333333,0.4444444444444444
S2,A,1,test_all,27,6,1.0,0.3333333333333333,0.5
S2,A,1,test_all,28,6,0.16666666666666666,0.5,0.25
S2,A,1,test_all,29,6,0.6666666666666666,1.0,0.8
S2,A,1,test_all,30,6,0.16666666666666666,0.16666666666666666,0.16666666666666666
S2,A,1,test_normal,0,4,0.0,0.0,0.0
S2,A,1,test_normal,1,30,0.9545454545454546,0.7,0.8076923076923077
S2,A,1,test_normal,2,15,0.5882352941176471,0.6666666666666666,0.625
S2,A,1,test_normal,3,15,0.7272727272727273,0.5333333333333333,0.6153846153846153
S2,A,1,test_normal,4,4,0.0,0.0,0.0
S2,A,1,test_normal,5,4,0.5,0.75,0.6
S2,A,1,test_normal,6,4,0.3333333333333333,0.75,0.46153846153846156
S2,A,1,test_normal,7,30,0.7692307692307693,0.3333333333333333,0.4651162790697674
S2,A,1,test_normal,8,30,0.9166666666666666,0.7333333333333333,0.8148148148148148
S2,A,1,test_normal,9,4,0.18181818181818182,0.5,0.26666666666666666
S2,A,1,test_normal,10,15,0.6190476190476191,0.8666666666666667,0.7222222222222222
S2,A,1,test_normal,11,4,1.0,1.0,1.0
S2,A,1,test_normal,12,4,0.42857142857142855,0.75,0.5454545454545454
S2,A,1,test_normal,13,30,0.5454545454545454,0.4,0.4615384615384615
S2,A,1,test_normal,14,15,0.4,0.13333333333333333,0.2
S2,A,1,test_normal,15,4,0.1,0.5,0.16666666666666669
S2,A,1,test_normal,16,15,0.6428571428571429,0.6,0.6206896551724138
S2,A,1,test_normal,17,4,0.15384615384615385,0.5,0.23529411764705882
S2,A,1,test_normal,18,15,0.6363636363636364,0.4666666666666667,0.5384615384615385
S2,A,1,test_normal,19,4,0.375,0.75,0.5
S2,A,1,test_normal,20,4,0.6,0.75,0.6666666666666665
S2,A,1,test_normal,21,4,1.0,1.0,1.0
S2,A,1,test_normal,22,4,0.0,0.0,0.0
S2,A,1,test_normal,23,4,0.23076923076923078,0.75,0.3529411764705882
S2,A,1,test_normal,24,4,0.6666666666666666,1.0,0.8
S2,A,1,test_normal,25,4,0.0,0.0,0.0
S2,A,1,test_normal,26,4,0.6666666666666666,0.5,0.5714285714285715
S2,A,1,test_normal,27,4,1.0,0.25,0.4
S2,A,1,test_normal,28,4,0.16666666666666666,0.5,0.25
S2,A,1,test_normal,29,4,0.6666666666666666,1.0,0.8
S2,A,1,test_normal,30,4,0.25,0.25,0.25
S2,A,1,test_fault,0,2,0.0,0.0,0.0
S2,A,1,test_fault,1,12,0.8333333333333334,0.4166666666666667,0.5555555555555556
S2,A,1,test_fault,2,9,0.4166666666666667,0.5555555555555556,0.4761904761904762
S2,A,1,test_fault,3,2,0.2857142857142857,1.0,0.4444444444444445
S2,A,1,test_fault,4,1,0.0,0.0,0.0
S2,A,1,test_fault,5,2,0.6666666666666666,1.0,0.8
S2,A,1,test_fault,6,2,0.3333333333333333,1.0,0.5
S2,A,1,test_fault,7,15,0.4444444444444444,0.26666666666666666,0.33333333333333337
S2,A,1,test_fault,8,15,0.75,0.4,0.5217391304347827
S2,A,1,test_fault,9,2,0.08333333333333333,0.5,0.14285714285714285
S2,A,1,test_fault,10,9,0.6666666666666666,0.4444444444444444,0.5333333333333333
S2,A,1,test_fault,11,2,1.0,1.0,1.0
S2,A,1,test_fault,12,2,1.0,1.0,1.0
S2,A,1,test_fault,13,12,1.0,0.4166666666666667,0.5882352941176471
S2,A,1,test_fault,14,9,0.5,0.1111111111111111,0.1818181818181818
