condition,participant,seed,split,stage,samples,node_accuracy,node_macro_f1,tier3_accuracy,tier3_macro_f1
S1,A,1,test_all,1,66,0.25757575757575757,0.25312868949232586,0.25757575757575757,0.25312868949232586
S1,A,1,test_all,2,308,0.2532467532467532,0.27597057356245674,0.2564935064935065,0.31374743097850877
S1,A,1,test_all,3,57,0.24561403508771928,0.27380952380952384,0.24561403508771928,0.27380952380952384
S1,A,1,test_normal,1,44,0.2727272727272727,0.2686868686868687,0.2727272727272727,0.2686868686868687
S1,A,1,test_normal,2,210,0.2523809523809524,0.279173733401844,0.2523809523809524,0.3200326601546114
S1,A,1,test_normal,3,40,0.25,0.26166666666666666,0.25,0.26166666666666666
S1,A,1,test_fault,1,22,0.22727272727272727,0.18636363636363634,0.22727272727272727,0.18636363636363634
S1,A,1,test_fault,2,98,0.25510204081632654,0.27604405398523046,0.2653061224489796,0.3134313725490196
S1,A,1,test_fault,3,17,0.23529411764705882,0.26666666666666666,0.23529411764705882,0.26666666666666666
S2,A,1,test_all,1,66,0.4696969696969697,0.47204840613931526,0.4696969696969697,0.47204840613931526
S2,A,1,test_all,2,308,0.4902597402597403,0.553234165946255,0.5097402597402597,0.578236071196811
S2,A,1,test_all,3,57,0.6491228070175439,0.6303030303030303,0.6491228070175439,0.6303030303030303
S2,A,1,test_normal,1,44,0.45454545454545453,0.44249639249639255,0.45454545454545453,0.44249639249639255
S2,A,1,test_normal,2,210,0.5238095238095238,0.5862961219922589,0.5428571428571428,0.603184636554577
S2,A,1,test_normal,3,40,0.65,0.6273809523809524,0.65,0.6273809523809524
S2,A,1,test_fault,1,22,0.5,0.506060606060606,0.5,0.506060606060606
S2,A,1,test_fault,2,98,0.41836734693877553,0.4631099059670488,0.4387755102040816,0.5250611565189571
S2,A,1,test_fault,3,17,0.6470588235294118,0.6166666666666667,0.6470588235294118,0.6166666666666667
S3,A,1,test_all,1,66,0.7727272727272727,0.7637635092180546,0.7727272727272727,0.7637635092180546
S3,A,1,test_all,2,308,0.8701298701298701,0.9027353663297981,0.8733766233766234,0.8738420813877698
S3,A,1,test_all,3,57,0.8070175438596491,0.8033682983682983,0.8070175438596491,0.8033682983682983
S3,A,1,test_normal,1,44,0.7954545454545454,0.7647907647907648,0.7954545454545454,0.7647907647907648
S3,A,1,test_normal,2,210,0.9142857142857143,0.929964828989539,0.919047619047619,0.9102113050883542
S3,A,1,test_normal,3,40,0.825,0.828997113997114,0.825,0.828997113997114
S3,A,1,test_fault,1,22,0.7272727272727273,0.7515151515151515,0.7272727272727273,0.7515151515151515
S3,A,1,test_fault,2,98,0.7755102040816326,0.8423353635192374,0.7755102040816326,0.7932271034570691
S3,A,1,test_fault,3,17,0.7647058823529411,0.7266666666666667,0.7647058823529411,0.7266666666666667
S4,A,1,test_all,1,66,0.696969696969697,0.7075364029909484,0.696969696969697,0.7075364029909484
S4,A,1,test_all,2,308,0.7824675324675324,0.8159988690168907,0.7987012987012987,0.7965929787224411
S4,A,1,test_all,3,57,0.7192982456140351,0.7202153402153402,0.7192982456140351,0.7202153402153402
S4,A,1,test_normal,1,44,0.7272727272727273,0.7131575495211858,0.7272727272727273,0.7131575495211858
S4,A,1,test_normal,2,210,0.8142857142857143,0.8306516364217381,0.8238095238095238,0.8036776986454406
S4,A,1,test_normal,3,40,0.725,0.6951875901875902,0.725,0.6951875901875902
S4,A,1,test_fault,1,22,0.6363636363636364,0.6848484848484848,0.6363636363636364,0.6848484848484848
S4,A,1,test_fault,2,98,0.7142857142857143,0.7786852572076501,0.7448979591836735,0.780231689260282
S4,A,1,test_fault,3,17,0.7058823529411765,0.7666666666666667,0.7058823529411765,0.7666666666666667
S5,A,1,test_all,1,66,0.15151515151515152,0.20959595959595959,0.15151515151515152,0.20959595959595959
S5,A,1,test_all,2,308,0.237012987012987,0.25282980896347107,0.24675324675324675,0.30189263851718107
S5,A,1,test_all,3,57,0.2982456140350877,0.3016488413547237,0.2982456140350877,0.3016488413547237
S5,A,1,test_normal,1,44,0.18181818181818182,0.22857142857142856,0.18181818181818182,0.22857142857142856
S5,A,1,test_normal,2,210,0.2761904761904762,0.2854401476044572,0.2904761904761905,0.3453046032169895
S5,A,1,test_normal,3,40,0.325,0.3557142857142857,0.325,0.3557142857142857
S5,A,1,test_fault,1,22,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
S5,A,1,test_fault,2,98,0.15306122448979592,0.1772276636407071,0.15306122448979592,0.1993076368076368
S5,A,1,test_fault,3,17,0.23529411764705882,0.16333333333333333,0.23529411764705882,0.16333333333333333
S6,A,1,test_all,1,66,0.21212121212121213,0.28275613275613276,0.21212121212121213,0.28275613275613276
S6,A,1,test_all,2,308,0.2727272727272727,0.26481923589589423,0.30844155844155846,0.3366154478695127
S6,A,1,test_all,3,57,0.24561403508771928,0.28214285714285714,0.24561403508771928,0.28214285714285714
S6,A,1,test_normal,1,44,0.1590909090909091,0.20346320346320346,0.1590909090909091,0.20346320346320346
S6,A,1,test_normal,2,210,0.2857142857142857,0.2777490428142794,0.32857142857142857,0.36152904183089946
S6,A,1,test_normal,3,40,0.275,0.293997113997114,0.275,0.293997113997114
S6,A,1,test_fault,1,22,0.3181818181818182,0.3939393939393939,0.3181818181818182,0.3939393939393939
S6,A,1,test_fault,2,98,0.24489795918367346,0.22577443564838523,0.2653061224489796,0.27390501139727147
S6,A,1,test_fault,3,17,0.17647058823529413,0.17333333333333334,0.17647058823529413,0.17333333333333334
S7,A,1,test_all,1,66,0.6363636363636364,0.6370841279932189,0.6363636363636364,0.6370841279932189
S7,A,1,test_all,2,308,0.5714285714285714,0.589060794003052,0.7337662337662337,0.7186664861197418
S7,A,1,test_all,3,57,0.6666666666666666,0.682031302031302,0.6666666666666666,0.682031302031302
S7,A,1,test_normal,1,44,0.6590909090909091,0.6583694083694084,0.6590909090909091,0.6583694083694084
S7,A,1,test_normal,2,210,0.638095238095238,0.6505319262110797,0.7666666666666667,0.7555067320410456
S7,A,1,test_normal,3,40,0.725,0.7503174603174603,0.725,0.7503174603174603
S7,A,1,test_fault,1,22,0.5909090909090909,0.5575757575757575,0.5909090909090909,0.5575757575757575
S7,A,1,test_fault,2,98,0.42857142857142855,0.4289216530595841,0.6632653061224489,0.6311096327125834
S7,A,1,test_fault,3,17,0.5294117647058824,0.48,0.5294117647058824,0.48
S8,A,1,test_all,1,66,0.5454545454545454,0.5925019425019425,0.5454545454545454,0.5925019425019425
S8,A,1,test_all,2,308,0.5909090909090909,0.6274957618877759,0.7175324675324676,0.7443237284899811
S8,A,1,test_all,3,57,0.5964912280701754,0.6224603174603175,0.5964912280701754,0.6224603174603175
S8,A,1,test_normal,1,44,0.5454545454545454,0.5808080808080809,0.5454545454545454,0.5808080808080809
S8,A,1,test_normal,2,210,0.6476190476190476,0.6695391841284595,0.7476190476190476,0.7580547145465408
S8,A,1,test_normal,3,40,0.65,0.6479365079365079,0.65,0.6479365079365079
S8,A,1,test_fault,1,22,0.5454545454545454,0.5757575757575757,0.5454545454545454,0.5757575757575757
S8,A,1,test_fault,2,98,0.46938775510204084,0.5016581801411523,0.6530612244897959,0.7013963111341628
S8,A,1,test_fault,3,17,0.47058823529411764,0.5333333333333333,0.47058823529411764,0.5333333333333333
S9,A,1,test_all,1,66,,,0.16666666666666666,0.19823509823509822
S9,A,1,test_all,2,308,,,0.2727272727272727,0.2919678358781952
S9,A,1,test_all,3,57,,,0.15789473684210525,0.173109243697479
S9,A,1,test_normal,1,44,,,0.1590909090909091,0.19393939393939394
S9,A,1,test_normal,2,210,,,0.2714285714285714,0.29364704618844245
S9,A,1,test_normal,3,40,,,0.175,0.17714285714285716
S9,A,1,test_fault,1,22,,,0.18181818181818182,0.18181818181818182
