condition,participant,seed,label_space,rank,true_id,pred_id,count
S1,A,1,node,1,16,2,16
S1,A,1,node,2,22,10,14
S1,A,1,node,3,14,10,13
S1,A,1,node,4,15,10,13
S1,A,1,node,5,20,10,13
S1,A,1,node,6,12,2,10
S1,A,1,node,7,23,10,9
S1,A,1,node,8,24,3,9
S1,A,1,node,9,13,18,8
S1,A,1,node,10,21,10,5
S1,A,1,node,11,24,2,5
S1,A,1,node,12,17,10,5
S1,A,1,tier3,1,8,15,27
S1,A,1,tier3,2,7,15,18
S1,A,1,tier3,3,1,15,18
S1,A,1,tier3,4,13,9,16
S1,A,1,tier3,5,18,9,10
S1,A,1,tier3,6,3,15,9
S1,A,1,tier3,7,14,28,9
S1,A,1,tier3,8,2,16,8
S1,A,1,tier3,9,8,3,8
S1,A,1,tier3,10,7,18,7
S1,A,1,tier3,11,14,9,5
S1,A,1,tier3,12,7,16,5
S2,A,1,node,1,24,3,10
S2,A,1,node,2,15,14,7
S2,A,1,node,3,16,34,7
S2,A,1,node,4,12,34,6
S2,A,1,node,5,14,13,6
S2,A,1,node,6,16,2,6
S2,A,1,node,7,1,9,5
S2,A,1,node,8,19,16,5
S2,A,1,node,9,13,10,4
S2,A,1,node,10,18,16,4
S2,A,1,node,11,21,12,4
S2,A,1,node,12,25,34,4
S2,A,1,tier3,1,14,28,10
S2,A,1,tier3,2,7,2,8
S2,A,1,tier3,3,8,7,8
S2,A,1,tier3,4,7,18,7
S2,A,1,tier3,5,13,17,7
S2,A,1,tier3,6,18,17,6
S2,A,1,tier3,7,7,15,6
S2,A,1,tier3,8,13,9,6
S2,A,1,tier3,9,30,6,5
S2,A,1,tier3,10,16,13,5
S2,A,1,tier3,11,2,15,4
S2,A,1,tier3,12,8,3,4
S3,A,1,node,1,24,12,13
S3,A,1,node,2,25,34,6
S3,A,1,node,3,13,10,5
S3,A,1,node,4,35,32,4
S3,A,1,node,5,12,34,4
S3,A,1,node,6,12,10,3
S3,A,1,node,7,5,6,2
S3,A,1,node,8,7,12,2
S3,A,1,node,9,5,2,2
S3,A,1,node,10,25,2,2
S3,A,1,node,11,7,8,1
S3,A,1,node,12,24,16,1
S3,A,1,tier3,1,14,18,13
S3,A,1,tier3,2,10,17,6
S3,A,1,tier3,3,2,15,5
S3,A,1,tier3,4,4,21,4
S3,A,1,tier3,5,18,17,4
S3,A,1,tier3,6,18,15,3
S3,A,1,tier3,7,0,25,2
S3,A,1,tier3,8,29,18,2
S3,A,1,tier3,9,0,9,2
S3,A,1,tier3,10,10,9,2
S3,A,1,tier3,11,29,27,1
S3,A,1,tier3,12,14,13,1
S4,A,1,node,1,24,12,9
S4,A,1,node,2,25,34,8
S4,A,1,node,3,5,4,5
S4,A,1,node,4,29,28,4
S4,A,1,node,5,25,18,4
S4,A,1,node,6,12,34,4
S4,A,1,node,7,13,34,3
S4,A,1,node,8,22,15,3
S4,A,1,node,9,24,34,3
S4,A,1,node,10,26,31,2
