问题ID,问题类型,问题子类型,参与者,运行,摄像机ID,sample_name,action_annotation序号,动作,对象,差异字段,动作标注_start_idx,动作标注_end_idx,动作标注_start,动作标注_end,segmentation_start_idx,segmentation_end_idx,segmentation_start,segmentation_end,segmentation_start减动作标注_帧,segmentation_end减动作标注_帧,segmentation_start减动作标注_毫秒,segmentation_end减动作标注_毫秒,动作标注时长_帧,segmentation时长_帧,manifest缓存帧数,manifest匹配动作标注时长,manifest匹配segmentation时长,动作标注start匹配相机时间戳,动作标注end匹配相机时间戳,segmentation_start匹配相机时间戳,segmentation_end匹配相机时间戳,动作标注start时间实际匹配帧索引,动作标注start索引偏移_帧,动作标注end时间实际匹配帧索引,动作标注end索引偏移_帧,segmentation_start时间实际匹配帧索引,segmentation_start索引偏移_帧,segmentation_end时间实际匹配帧索引,segmentation_end索引偏移_帧,相机时间戳_动作标注start_idx,相机时间戳_动作标注end_idx,相机时间戳_segmentation_start_idx,相机时间戳_segmentation_end_idx,无效时间戳帧索引,无效时间戳文件行号,无效时间戳原值,前一个有效时间戳帧索引,前一个有效时间戳,后一个有效时间戳帧索引,后一个有效时间戳,是否连续尾部无效值,该帧是否晚于最后动作end_idx,该帧是否位于任一动作区间,最后动作end_idx,距最后动作帧数,审计判断,标签生成建议,人工复核状态,动作标注来源文件,动作标注来源行号,segmentation来源文件,segmentation来源行号,相机时间戳来源文件,动作标注start对应时间戳行,动作标注end对应时间戳行,segmentation_start对应时间戳行,segmentation_end对应时间戳行,manifest来源文件,manifest来源行号,审计日期,备注
BD-001,边界差异,end_idx|end,A,run_13,001484412812,sample_000083,9,grip,sample,end_idx|end,1438,1483,20260323_091818_926687,20260323_091820_430663,1438,1479,20260323_091818_926687,20260323_091820_252859,0,-4,0,-177.804,46,42,46,是,否,否,否,否,是,1439,1,1484,1,1439,1,1479,0,20260323_091818_892777,20260323_091820_405729,20260323_091818_892777,20260323_091820_252859,,,,,,,,,,,,,四个标注时间字符串都存在于相机时间戳序列，但至少一个idx与实际时间戳位置有偏移；属于帧索引/时间戳映射问题（可能含0/1基混用），不是1970占位时间戳,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\A\run_13\run_13_annotations.csv,10,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\A\run_13\run_13_segmentation_annotation.csv,19,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\A\run_13\001484412812\20260323_091726_timestamp.csv,1439,1484,1439,1480,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,83,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-002,边界差异,end_idx|end,A,run_14,001484412812,sample_000094,6,grip,sample,end_idx|end,1023,1064,20260323_091958_957134,20260323_092000_337334,1023,1062,20260323_091958_957134,20260323_092000_273266,0,-2,0,-64.068,42,40,42,是,否,是,是,是,是,1023,0,1064,0,1023,0,1062,0,20260323_091958_957134,20260323_092000_337334,20260323_091958_957134,20260323_092000_273266,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\A\run_14\run_14_annotations.csv,7,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\A\run_14\run_14_segmentation_annotation.csv,13,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\A\run_14\001484412812\20260323_091919_timestamp.csv,1024,1065,1024,1063,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,94,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-003,边界差异,start_idx|start,A,run_14,001484412812,sample_000099,11,press,pedal,start_idx|start,1285,1392,20260323_092007_696550,20260323_092011_265026,1281,1392,20260323_092007_576945,20260323_092011_265026,-4,0,-119.605,0,108,112,108,是,否,是,是,是,是,1285,0,1392,0,1281,0,1392,0,20260323_092007_696550,20260323_092011_265026,20260323_092007_576945,20260323_092011_265026,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\A\run_14\run_14_annotations.csv,12,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\A\run_14\run_14_segmentation_annotation.csv,21,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\A\run_14\001484412812\20260323_091919_timestamp.csv,1286,1393,1282,1393,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,99,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-004,边界差异,start_idx|start,A,run_15,001484412812,sample_000113,11,press,pedal,start_idx|start,1198,1314,20260323_092150_955186,20260323_092154_830866,1194,1314,20260323_092150_803140,20260323_092154_830866,-4,0,-152.046,0,117,121,117,是,否,否,否,是,否,1199,1,1315,1,1194,0,1315,1,20260323_092150_922277,20260323_092154_795828,20260323_092150_803140,20260323_092154_795828,,,,,,,,,,,,,四个标注时间字符串都存在于相机时间戳序列，但至少一个idx与实际时间戳位置有偏移；属于帧索引/时间戳映射问题（可能含0/1基混用），不是1970占位时间戳,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\A\run_15\run_15_annotations.csv,12,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\A\run_15\run_15_segmentation_annotation.csv,22,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\A\run_15\001484412812\20260323_092106_timestamp.csv,1199,1315,1195,1315,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,113,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-005,边界差异,start_idx|start,A,run_16,001484412812,sample_000147,21,place,sample,start_idx|start,4426,4468,20260323_092808_400388,20260323_092809_782830,4423,4468,20260323_092808_280709,20260323_092809_782830,-3,0,-119.679,0,43,46,43,是,否,是,是,是,是,4426,0,4468,0,4423,0,4468,0,20260323_092808_400388,20260323_092809_782830,20260323_092808_280709,20260323_092809_782830,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\A\run_16\run_16_annotations.csv,22,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\A\run_16\run_16_segmentation_annotation.csv,42,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\A\run_16\001484412812\20260323_092535_timestamp.csv,4427,4469,4424,4469,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,147,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-006,边界差异,start_idx|start,A,run_17,001484412812,sample_000158,7,reverse,sample,start_idx|start,1019,1060,20260323_093010_695575,20260323_093012_070570,1018,1060,20260323_093010_662151,20260323_093012_070570,-1,0,-33.424,0,42,43,42,是,否,是,是,是,是,1019,0,1060,0,1018,0,1060,0,20260323_093010_695575,20260323_093012_070570,20260323_093010_662151,20260323_093012_070570,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\A\run_17\run_17_annotations.csv,8,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\A\run_17\run_17_segmentation_annotation.csv,14,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\A\run_17\001484412812\20260323_092931_timestamp.csv,1020,1061,1019,1061,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,158,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-007,边界差异,end_idx|end,A,run_26,001484412812,sample_000303,6,grip,sample,end_idx|end,973,1008,20260323_095959_656163,20260323_100000_809053,973,1011,20260323_095959_656163,20260323_100000_882865,0,3,0,73.812,36,39,36,是,否,否,否,否,是,974,1,1009,1,974,1,1011,0,20260323_095959_629216,20260323_100000_784119,20260323_095959_629216,20260323_100000_882865,,,,,,,,,,,,,四个标注时间字符串都存在于相机时间戳序列，但至少一个idx与实际时间戳位置有偏移；属于帧索引/时间戳映射问题（可能含0/1基混用），不是1970占位时间戳,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\A\run_26\run_26_annotations.csv,7,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\A\run_26\run_26_segmentation_annotation.csv,13,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\A\run_26\001484412812\20260323_095922_timestamp.csv,974,1009,974,1012,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,303,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-008,边界差异,end_idx|end,A,run_28,001484412812,sample_000325,9,grip,sample,end_idx|end,1147,1183,20260323_100337_611067,20260323_100338_812732,1147,1174,20260323_100337_611067,20260323_100338_508962,0,-9,0,-303.77,37,28,37,是,否,是,是,是,是,1147,0,1183,0,1147,0,1174,0,20260323_100337_611067,20260323_100338_812732,20260323_100337_611067,20260323_100338_508962,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\A\run_28\run_28_annotations.csv,10,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\A\run_28\run_28_segmentation_annotation.csv,18,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\A\run_28\001484412812\20260323_100254_timestamp.csv,1148,1184,1148,1175,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,325,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-009,边界差异,start_idx|start,D,run_8,001484412812,sample_000866,11,press,pedal,start_idx|start,2399,2477,20260313_110759_305027,20260313_110801_895816,2396,2477,20260313_110759_194072,20260313_110801_895816,-3,0,-110.955,0,79,82,79,是,否,是,是,是,是,2399,0,2477,0,2396,0,2477,0,20260313_110759_305027,20260313_110801_895816,20260313_110759_194072,20260313_110801_895816,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_8\run_8_annotations.csv,12,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_8\run_8_segmentation_annotation.csv,22,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_8\001484412812\20260313_110634_timestamp.csv,2400,2478,2397,2478,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,866,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
BD-010,边界差异,start_idx|start,D,run_10,001484412812,sample_000474,18,reverse,sample,start_idx|start,5119,5172,20260313_111643_322707,20260313_111645_097821,5117,5172,20260313_111643_257881,20260313_111645_097821,-2,0,-64.826,0,54,56,54,是,否,是,是,是,是,5119,0,5172,0,5117,0,5172,0,20260313_111643_322707,20260313_111645_097821,20260313_111643_257881,20260313_111645_097821,,,,,,,,,,,,,两套边界都准确对应有效相机时间戳；现有clip缓存匹配动作标注边界，因此不是时间戳损坏，而是两份标注选择了不同边界,第一版以动作标注边界生成action/background标签；保留本行差异，人工确认后再决定是否改用segmentation边界,待用户确认,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_10\run_10_annotations.csv,19,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_10\run_10_segmentation_annotation.csv,36,D:\Junxi_data\stage_2_data_for_annotation\Dataset_thermal_crimper_stage_2_raw\kinect\D\run_10\001484412812\20260313_111347_timestamp.csv,5120,5173,5118,5173,D:\Junxi_data\Objective3_thermal_crimp\codex_and_files\manifest_graph_enrichment_2026-07-15\3_camera_mindrove_manifest_with_graph_nodes.jsonl,474,2026-08-07,边界帧索引按1开始计数；时间戳CSV第1行为表头，因此时间戳文件行号=帧索引+1
