frame_idx,original_frame_idx,frame_name,timestamp,action,object,mark,segment_no,segment_start_idx,segment_end_idx,segment_start,segment_end
1,623,20260316_123204_036168.jpg,20260316_123204_036168,background,none,none,1,1,652,20260316_123143_427273,20260316_123204_983178
2,624,20260316_123204_061680.jpg,20260316_123204_061680,background,none,none,1,1,652,20260316_123143_427273,20260316_123204_983178
3,625,20260316_123204_100610.jpg,20260316_123204_100610,background,none,none,1,1,652,20260316_123143_427273,20260316_123204_983178
4,626,20260316_123204_137541.jpg,20260316_123204_137541,background,none,none,1,1,652,20260316_123143_427273,20260316_123204_983178
5,627,20260316_123204_173665.jpg,20260316_123204_173665,background,none,none,1,1,652,20260316_123143_427273,20260316_123204_983178
6,628,20260316_123204_209748.jpg,20260316_123204_209748,background,none,none,1,1,652,20260316_123143_427273,20260316_123204_983178
7,629,20260316_123204_243665.jpg,20260316_123204_243665,background,none,none,1,1,652,20260316_123143_427273,20260316_123204_983178
8,630,20260316_123204_292591.jpg,20260316_123204_292591,background,none,none,1,1,652,20260316_123143_427273,20260316_123204_983178
9,631,20260316_123204_317061.jpg,20260316_123204_317061,background,none,none,1,1,652,20260316_123143_427273,20260316_123204_983178
10,632,20260316_123204_343660.jpg,20260316_123204_343660,background,none,none,1,1,652,20260316_123143_427273,20260316_123204_983178
11,633,20260316_123204_368125.jpg,20260316_123204_368125,background,none,none,1,1,652,20260316_123143_427273,20260316_123204_983178
12,634,20260316_123204_392068.jpg,20260316_123204_392068,background,none,none,1,1,652,20260316_123143_427273,20260316_123204_983178
13,635,20260316_123204_421529.jpg,20260316_123204_421529,background,none,none,1,1,652,20260316_123143_427273,20260316_123204_983178
14,636,20260316_123204_459953.jpg,20260316_123204_459953,background,none,none,1,1,652,20260316_123143_427273,20260316_123204_983178
15,637,20260316_123204_485191.jpg,20260316_123204_485191,background,none,none,1,1,652,20260316_123143_427273,20260316_123204_983178
16,638,20260316_123204_522624.jpg,20260316_123204_522624,background,none,none,1,1,652,20260316_123143_427273,20260316_123204_983178
17,639,20260316_123204_553659.jpg,20260316_123204_553659,background,none,none,1,1,652,20260316_123143_427273,20260316_123204_983178
