No,action,object,start_idx,end_idx,start,end,mark
1,background,none,1,652,20260316_123143_427273,20260316_123204_983178,none
2,take,plier,653,682,20260316_123205_019752,20260316_123205_977397,from table
3,background,none,683,708,20260316_123206_027716,20260316_123206_859134,none
4,grip,sample,709,750,20260316_123206_913047,20260316_123208_321984,from table
5,background,none,751,859,20260316_123208_359876,20260316_123211_883153,none
6,place,sample,860,894,20260316_123211_925560,20260316_123213_068780,under electrodes
7,background,none,895,923,20260316_123213_093809,20260316_123214_087393,none
8,press,pedal,924,1004,20260316_123214_122154,20260316_123216_733162,none
9,background,none,1005,1045,20260316_123216_760088,20260316_123218_101391,none
10,put,sample,1046,1072,20260316_123218_136365,20260316_123218_981052,on machine table
11,background,none,1073,1091,20260316_123219_014109,20260316_123219_621093,none
12,grip,sample,1092,1142,20260316_123219_661995,20260316_123221_316795,from machine table
13,reverse,sample,1143,1176,20260316_123221_356693,20260316_123222_481331,none
14,background,none,1177,1184,20260316_123222_507776,20260316_123222_735678,none
15,put,sample,1185,1223,20260316_123222_767115,20260316_123224_048116,on machine table
16,background,none,1224,1253,20260316_123224_093598,20260316_123225_033757,none
17,grip,sample,1254,1296,20260316_123225_066482,20260316_123226_477822,from machine table
18,background,none,1297,1310,20260316_123226_515722,20260316_123226_945035,none
19,place,sample,1311,1345,20260316_123226_971964,20260316_123228_107848,under electrodes
20,background,none,1346,1370,20260316_123228_133776,20260316_123228_943200,none
21,press,pedal,1371,1462,20260316_123228_971122,20260316_123231_998716,none
22,background,none,1463,1529,20260316_123232_040122,20260316_123234_232659,none
23,inspect,sample,1530,1637,20260316_123234_261581,20260316_123237_832675,none
24,background,none,1638,1746,20260316_123237_866582,20260316_123241_466736,none
25,put,sample,1747,1782,20260316_123241_497174,20260316_123242_666968,on table
26,background,none,1783,1792,20260316_123242_694889,20260316_123243_001359,none
27,put,plier,1793,1824,20260316_123243_029284,20260316_123244_074173,on table
28,background,none,1825,1913,20260316_123244_103297,20260316_123247_032329,none
29,turn off,crimper,1914,1966,20260316_123247_060246,20260316_123248_811724,none
30,background,none,1967,2028,20260316_123248_843638,20260316_123250_868615,none
31,turn off,air compressor,2029,2074,20260316_123250_901160,20260316_123252_409475,none
32,background,none,2075,2124,20260316_123252_440898,20260316_123254_072654,none
33,turn off,extractor fan,2125,2165,20260316_123254_103079,20260316_123255_430373,none
34,background,none,2166,2235,20260316_123255_466271,20260316_123257_767789,none
35,turn off,water pump,2236,2263,20260316_123257_796715,20260316_123258_713520,none
36,background,none,2264,2348,20260316_123258_744951,20260316_123301_548625,none
37,turn off,main switch,2349,2377,20260316_123301_573025,20260316_123302_504529,none
38,background,none,2378,2510,20260316_123302_536959,20260316_123306_932033,none
39,take,lock,2511,2528,20260316_123306_978906,20260316_123307_544977,from table
40,background,none,2529,2621,20260316_123307_578966,20260316_123310_647770,none
41,lock,crimper,2622,3274,20260316_123310_682195,20260316_123332_426120,none
42,background,none,3275,3355,20260316_123332_454041,20260316_123335_129676,none
43,take,protection cover,3356,3392,20260316_123335_162589,20260316_123336_361642,from ground
44,background,none,3393,3452,20260316_123336_396549,20260316_123338_363181,none
45,put,protection cover,3453,3556,20260316_123338_392096,20260316_123341_817875,on crimper
46,background,none,3557,3600,20260316_123341_871663,20260316_123343_286554,none
47,move,pedal,3601,3665,20260316_123343_321460,20260316_123345_465253,to original location
48,background,none,3666,4066,20260316_123345_498677,20260316_123358_846553,none
