sample_name,participant,source_run,status,reason,first_action_original_frame_idx,first_action_frame_name,last_action_original_frame_idx,last_action_frame_name,trim_start_original_frame_idx,trim_start_frame_name,trim_start_timestamp,trim_end_original_frame_idx,trim_end_frame_name,trim_end_timestamp,frame_annotation_original_rows,frame_annotation_keep_rows,frame_annotation_before_rows,frame_annotation_after_rows,001431512812_original_frames,001431512812_keep_frames,001431512812_before_frames,001431512812_after_frames,001484412812_original_frames,001484412812_keep_frames,001484412812_before_frames,001484412812_after_frames,001528512812_original_frames,001528512812_keep_frames,001528512812_before_frames,001528512812_after_frames,mindrove_left_original_rows,mindrove_left_keep_rows,mindrove_left_before_rows,mindrove_left_after_rows,mindrove_right_original_rows,mindrove_right_keep_rows,mindrove_right_before_rows,mindrove_right_after_rows
run_sample_000001,A,run_1,ok,,1302,20260313_093658_251584.jpg,5967,20260313_093933_800484.jpg,1272,20260313_093657_246168.jpg,20260313_093657_246168,5997,20260313_093934_791285.jpg,20260313_093934_791285,6137,4726,1271,140,6136,4723,1272,141,6137,4726,1271,140,6135,4727,1268,140,102500,78732,16958,6810,102500,78806,16998,6696
run_sample_000002,A,run_2,ok,,723,20260313_094132_501345.jpg,2407,20260313_094228_671817.jpg,693,20260313_094131_491632.jpg,20260313_094131_491632,2437,20260313_094229_703801.jpg,20260313_094229_703801,2604,1745,692,167,2603,1744,692,167,2604,1745,692,167,2602,1744,694,164,47127,29090,11137,6900,47500,29114,11176,7210
run_sample_000003,A,run_5,ok,,907,20260313_095447_169339.jpg,2657,20260313_095545_516351.jpg,877,20260313_095446_174509.jpg,20260313_095446_174509,2687,20260313_095546_524523.jpg,20260313_095546_524523,2800,1811,876,113,2800,1811,877,112,2800,1811,876,113,2800,1812,874,114,48500,30156,11610,6734,49000,30182,11624,7194
run_sample_000004,A,run_6,ok,,846,20260313_095731_867984.jpg,4488,20260313_095933_305668.jpg,816,20260313_095730_926830.jpg,20260313_095730_926830,4518,20260313_095934_317798.jpg,20260313_095934_317798,4820,3703,815,302,4824,3700,822,302,4820,3703,815,302,4824,3701,821,302,83000,61656,11934,9410,82500,61710,11520,9270
run_sample_000005,A,run_7,ok,,707,20260313_101226_423537.jpg,4798,20260313_101442_831093.jpg,677,20260313_101225_419908.jpg,20260313_101225_419908,4828,20260313_101443_849216.jpg,20260313_101443_849216,4971,4152,676,143,4970,4152,675,143,4971,4152,676,143,4969,4147,677,145,88500,69170,12390,6940,88500,69232,12226,7042
run_sample_000006,A,run_8,ok,,1054,20260313_101622_224820.jpg,2592,20260313_101713_545652.jpg,1024,20260313_101621_205901.jpg,20260313_101621_205901,2622,20260313_101714_539025.jpg,20260313_101714_539025,2751,1599,1023,129,2747,1600,1018,129,2751,1599,1023,129,2751,1598,1023,130,47500,26648,13702,7150,48000,26674,13646,7680
run_sample_000007,A,run_9,ok,,574,20260313_101925_361851.jpg,2224,20260313_102020_384429.jpg,544,20260313_101924_371047.jpg,20260313_101924_371047,2254,20260313_102021_394105.jpg,20260313_102021_394105,2374,1711,543,120,2373,1710,543,120,2374,1711,543,120,2374,1710,544,120,44500,28492,9222,6786,44500,28518,9246,6736
run_sample_000008,A,run_11,ok,,816,20260313_102443_191316.jpg,4126,20260313_102633_574296.jpg,786,20260313_102442_198897.jpg,20260313_102442_198897,4156,20260313_102634_569032.jpg,20260313_102634_569032,4407,3371,785,251,4407,3369,786,252,4407,3371,785,251,4407,3370,786,251,77000,56148,12530,8322,77500,56198,12694,8608
run_sample_000009,A,run_12,ok,,901,20260323_091348_690978.jpg,4943,20260323_091603_488090.jpg,871,20260323_091347_708767.jpg,20260323_091347_708767,4973,20260323_091604_481645.jpg,20260323_091604_481645,5082,4103,870,109,5081,4101,871,109,5082,4103,870,109,5082,4101,871,110,88500,68350,14926,5224,89000,68412,15156,5432
run_sample_000010,A,run_13,ok,,773,20260323_091756_716502.jpg,1891,20260323_091833_996217.jpg,743,20260323_091755_714361.jpg,20260323_091755_714361,1921,20260323_091834_988557.jpg,20260323_091834_988557,2047,1179,742,126,2047,1178,742,127,2047,1179,742,126,2047,1177,744,126,37500,19626,11862,6012,37500,19644,11704,6152
run_sample_000011,A,run_14,ok,,596,20260323_091944_717801.jpg,1666,20260323_092020_409304.jpg,566,20260323_091943_725552.jpg,20260323_091943_725552,1696,20260323_092021_408762.jpg,20260323_092021_408762,1835,1131,565,139,1835,1130,566,139,1835,1131,565,139,1835,1130,566,139,34000,18836,8834,6330,34500,18852,9224,6424
run_sample_000012,A,run_15,ok,,564,20260323_092129_789344.jpg,3013,20260323_092251_452511.jpg,534,20260323_092128_778065.jpg,20260323_092128_778065,3043,20260323_092252_440637.jpg,20260323_092252_440637,3217,2510,533,174,3216,2510,532,174,3217,2510,533,174,3216,2509,533,174,54000,41806,7336,4858,55000,41844,7772,5384
run_sample_000013,A,run_16,ok,,758,20260323_092606_072927.jpg,4854,20260323_092822_663821.jpg,728,20260323_092605_063713.jpg,20260323_092605_063713,4884,20260323_092823_654594.jpg,20260323_092823_654594,5001,4157,727,117,5001,4156,727,118,5001,4157,727,117,5001,4157,726,118,87000,69256,11898,5846,87000,69316,11456,6228
run_sample_000014,A,run_17,ok,,574,20260323_092955_865046.jpg,1599,20260323_093030_038289.jpg,544,20260323_092954_870539.jpg,20260323_092954_870539,1629,20260323_093031_047118.jpg,20260323_093031_047118,1745,1086,543,116,1745,1085,544,116,1745,1086,543,116,1745,1085,544,116,32500,18078,8736,5686,33000,18094,8894,6012
run_sample_000015,A,run_19,ok,,608,20260323_093316_494017.jpg,2883,20260323_093432_359505.jpg,578,20260323_093315_498041.jpg,20260323_093315_498041,2913,20260323_093433_352856.jpg,20260323_093433_352856,3122,2336,577,209,3122,2336,577,209,3122,2336,577,209,3122,2334,578,210,56000,38904,9990,7106,56500,38938,10236,7326
