frame_idx,original_frame_idx,frame_name,timestamp,action,object,mark,segment_no,segment_start_idx,segment_end_idx,segment_start,segment_end
1,677,20260313_101225_419908.jpg,20260313_101225_419908,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
2,678,20260313_101225_457656.jpg,20260313_101225_457656,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
3,679,20260313_101225_482593.jpg,20260313_101225_482593,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
4,680,20260313_101225_520487.jpg,20260313_101225_520487,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
5,681,20260313_101225_553410.jpg,20260313_101225_553410,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
6,682,20260313_101225_588348.jpg,20260313_101225_588348,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
7,683,20260313_101225_615287.jpg,20260313_101225_615287,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
8,684,20260313_101225_653192.jpg,20260313_101225_653192,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
9,685,20260313_101225_680247.jpg,20260313_101225_680247,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
10,686,20260313_101225_711670.jpg,20260313_101225_711670,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
11,687,20260313_101225_744097.jpg,20260313_101225_744097,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
12,688,20260313_101225_781513.jpg,20260313_101225_781513,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
13,689,20260313_101225_815462.jpg,20260313_101225_815462,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
14,690,20260313_101225_844905.jpg,20260313_101225_844905,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
15,691,20260313_101225_875335.jpg,20260313_101225_875335,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
16,692,20260313_101225_926618.jpg,20260313_101225_926618,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
17,693,20260313_101225_970026.jpg,20260313_101225_970026,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
18,694,20260313_101225_994545.jpg,20260313_101225_994545,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
19,695,20260313_101226_018491.jpg,20260313_101226_018491,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
20,696,20260313_101226_051591.jpg,20260313_101226_051591,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
21,697,20260313_101226_089018.jpg,20260313_101226_089018,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
22,698,20260313_101226_128431.jpg,20260313_101226_128431,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
23,699,20260313_101226_153854.jpg,20260313_101226_153854,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
24,700,20260313_101226_189407.jpg,20260313_101226_189407,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
25,701,20260313_101226_227448.jpg,20260313_101226_227448,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
26,702,20260313_101226_259905.jpg,20260313_101226_259905,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
27,703,20260313_101226_292366.jpg,20260313_101226_292366,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
28,704,20260313_101226_330774.jpg,20260313_101226_330774,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
29,705,20260313_101226_363694.jpg,20260313_101226_363694,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
30,706,20260313_101226_388629.jpg,20260313_101226_388629,background,none,none,1,1,706,20260313_101203_073609,20260313_101226_388629
31,707,20260313_101226_423537.jpg,20260313_101226_423537,unlock,crimper,none,2,707,768,20260313_101226_423537,20260313_101228_449385
32,708,20260313_101226_449052.jpg,20260313_101226_449052,unlock,crimper,none,2,707,768,20260313_101226_423537,20260313_101228_449385
33,709,20260313_101226_481485.jpg,20260313_101226_481485,unlock,crimper,none,2,707,768,20260313_101226_423537,20260313_101228_449385
34,710,20260313_101226_518388.jpg,20260313_101226_518388,unlock,crimper,none,2,707,768,20260313_101226_423537,20260313_101228_449385
35,711,20260313_101226_547927.jpg,20260313_101226_547927,unlock,crimper,none,2,707,768,20260313_101226_423537,20260313_101228_449385
36,712,20260313_101226_581866.jpg,20260313_101226_581866,unlock,crimper,none,2,707,768,20260313_101226_423537,20260313_101228_449385
37,713,20260313_101226_614156.jpg,20260313_101226_614156,unlock,crimper,none,2,707,768,20260313_101226_423537,20260313_101228_449385
38,714,20260313_101226_640088.jpg,20260313_101226_640088,unlock,crimper,none,2,707,768,20260313_101226_423537,20260313_101228_449385
39,715,20260313_101226_689147.jpg,20260313_101226_689147,unlock,crimper,none,2,707,768,20260313_101226_423537,20260313_101228_449385
40,716,20260313_101226_723585.jpg,20260313_101226_723585,unlock,crimper,none,2,707,768,20260313_101226_423537,20260313_101228_449385
41,717,20260313_101226_754504.jpg,20260313_101226_754504,unlock,crimper,none,2,707,768,20260313_101226_423537,20260313_101228_449385
42,718,20260313_101226_794931.jpg,20260313_101226_794931,unlock,crimper,none,2,707,768,20260313_101226_423537,20260313_101228_449385
43,719,20260313_101226_827162.jpg,20260313_101226_827162,unlock,crimper,none,2,707,768,20260313_101226_423537,20260313_101228_449385
44,720,20260313_101226_861283.jpg,20260313_101226_861283,unlock,crimper,none,2,707,768,20260313_101226_423537,20260313_101228_449385
