No,action,object,start_idx,end_idx,start,end,mark
1,background,none,1,706,20260313_101203_073609,20260313_101226_388629,none
2,unlock,crimper,707,768,20260313_101226_423537,20260313_101228_449385,none
3,background,none,769,944,20260313_101228_482119,20260313_101234_343715,none
4,put,lock,945,969,20260313_101234_375951,20260313_101235_158981,on table
5,background,none,970,1179,20260313_101235_186024,20260313_101242_162702,none
6,turn on,main switch,1180,1209,20260313_101242_202872,20260313_101243_165578,none
7,background,none,1210,1369,20260313_101243_216909,20260313_101248_502999,none
8,turn on,crimper,1370,1391,20260313_101248_528080,20260313_101249_237782,none
9,background,none,1392,1542,20260313_101249_274701,20260313_101254_258711,none
10,turn on,extractor fan,1543,1562,20260313_101254_287211,20260313_101254_947244,none
11,background,none,1563,1707,20260313_101254_973250,20260313_101259_760553,none
12,turn on,water pump,1708,1722,20260313_101259_793980,20260313_101300_259634,none
13,background,none,1723,1841,20260313_101300_289586,20260313_101304_249071,none
14,turn on,air compressor,1842,1864,20260313_101304_279302,20260313_101305_007582,none
15,background,none,1865,2000,20260313_101305_043638,20260313_101309_546101,none
16,remove,protection cover,2001,2040,20260313_101309_572031,20260313_101310_869639,from crimper
17,background,none,2041,2143,20260313_101310_909531,20260313_101314_456069,none
18,put,protection cover,2144,2184,20260313_101314_494120,20260313_101315_696651,on ground
19,background,none,2185,2288,20260313_101315_732561,20260313_101319_145551,none
20,move,pedal,2289,2338,20260313_101319_172223,20260313_101320_899997,to safe location
21,background,none,2339,2477,20260313_101320_940921,20260313_101325_444197,none
22,adjust,parameters,2478,2532,20260313_101325_471124,20260313_101327_407729,none
23,background,none,2533,2684,20260313_101327_436008,20260313_101332_381280,none
24,take,plier,2685,2713,20260313_101332_415526,20260313_101333_394205,from table
25,background,none,2714,2809,20260313_101333_428174,20260313_101336_538290,none
26,grip,sample,2810,2858,20260313_101336_566873,20260313_101338_153072,from table
27,background,none,2859,3091,20260313_101338_181510,20260313_101345_909406,none
28,place,sample,3092,3154,20260313_101345_962021,20260313_101348_016661,under electrodes
29,background,none,3155,3546,20260313_101348_052952,20260313_101401_096505,none
30,press,pedal,3547,3640,20260313_101401_120441,20260313_101404_227221,none
31,background,none,3641,3728,20260313_101404_264122,20260313_101407_157924,none
32,put,sample,3729,3749,20260313_101407_188364,20260313_101407_884122,on machine table
33,background,none,3750,3828,20260313_101407_909055,20260313_101410_497025,none
34,grip,sample,3829,3866,20260313_101410_530932,20260313_101411_811512,from machine table
35,background,none,3867,3893,20260313_101411_850407,20260313_101412_666412,none
36,reverse,sample,3894,3988,20260313_101412_693357,20260313_101415_824039,none
37,background,none,3989,4007,20260313_101415_857955,20260313_101416_467388,none
38,put,sample,4008,4037,20260313_101416_499321,20260313_101417_453432,on machine table
39,background,none,4038,4111,20260313_101417_487348,20260313_101419_923180,none
40,grip,sample,4112,4165,20260313_101419_960598,20260313_101421_750584,from machine table
41,background,none,4166,4214,20260313_101421_783511,20260313_101423_423637,none
42,place,sample,4215,4260,20260313_101423_454066,20260313_101424_908682,under electrodes
43,background,none,4261,4296,20260313_101424_936845,20260313_101426_095198,none
44,press,pedal,4297,4396,20260313_101426_128204,20260313_101429_533120,none
45,background,none,4397,4473,20260313_101429_576008,20260313_101432_008221,none
46,inspect,sample,4474,4540,20260313_101432_045121,20260313_101434_287235,none
47,background,none,4541,4669,20260313_101434_320682,20260313_101438_550462,none
48,put,sample,4670,4697,20260313_101438_583397,20260313_101439_470031,on table
49,background,none,4698,4768,20260313_101439_505944,20260313_101441_853302,none
50,put,plier,4769,4798,20260313_101441_879767,20260313_101442_831093,on table
51,background,none,4799,4971,20260313_101442_869004,20260313_101448_614757,none
